CountryCode,CountryCode3,Country,CountrySubdivisionCode,CountrySubdivision,County,Latitude,Longitude
US,USA,United States,AL,Alabama,Baldwin,30.592781,-87.748260
US,USA,United States,AL,Alabama,Barbour,31.856515,-85.331312
US,USA,United States,AL,Alabama,Bibb,33.040054,-87.123243
US,USA,United States,AL,Alabama,Blount,33.978461,-86.554768
US,USA,United States,AL,Alabama,Bullock,32.098285,-85.704915
US,USA,United States,AL,Alabama,Butler,31.735884,-86.662232
US,USA,United States,AL,Alabama,Calhoun,33.741989,-85.817544
US,USA,United States,AL,Alabama,Chambers,32.891233,-85.288745
US,USA,United States,AL,Alabama,Cherokee,34.184158,-85.621930
US,USA,United States,AL,Alabama,Chilton,32.852554,-86.689982
US,USA,United States,AL,Alabama,Choctaw,32.027681,-88.257855
US,USA,United States,AL,Alabama,Clarke,31.688155,-87.834164
US,USA,United States,AL,Alabama,Clay,33.265810,-85.842858
US,USA,United States,AL,Alabama,Cleburne,33.647948,-85.511937
US,USA,United States,AL,Alabama,Coffee,31.378987,-85.956841
US,USA,United States,AL,Alabama,Colbert,34.731480,-87.725960
US,USA,United States,AL,Alabama,Conecuh,31.415613,-87.002108
US,USA,United States,AL,Alabama,Coosa,32.955511,-86.236319
US,USA,United States,AL,Alabama,Covington,31.251036,-86.416195
US,USA,United States,AL,Alabama,Crenshaw,31.710365,-86.289299
US,USA,United States,AL,Alabama,Cullman,34.155603,-86.830179
US,USA,United States,AL,Alabama,Dale,31.394100,-85.615013
US,USA,United States,AL,Alabama,Dallas,32.379942,-87.065563
US,USA,United States,AL,Alabama,DeKalb,34.459133,-85.798919
US,USA,United States,AL,Alabama,Elmore,32.596847,-86.170765
US,USA,United States,AL,Alabama,Escambia,31.104135,-87.232880
US,USA,United States,AL,Alabama,Etowah,34.018597,-86.032125
US,USA,United States,AL,Alabama,Fayette,33.747077,-87.751725
US,USA,United States,AL,Alabama,Franklin,34.465405,-87.832638
US,USA,United States,AL,Alabama,Geneva,31.094579,-85.796983
US,USA,United States,AL,Alabama,Greene,32.837254,-87.950852
US,USA,United States,AL,Alabama,Hale,32.768094,-87.635687
US,USA,United States,AL,Alabama,Henry,31.493511,-85.253760
US,USA,United States,AL,Alabama,Houston,31.189731,-85.350387
US,USA,United States,AL,Alabama,Jackson,34.755318,-85.948462
US,USA,United States,AL,Alabama,Jefferson,33.527872,-86.828050
US,USA,United States,AL,Alabama,Lamar,33.772995,-88.084702
US,USA,United States,AL,Alabama,Lauderdale,34.876890,-87.605700
US,USA,United States,AL,Alabama,Lawrence,34.554375,-87.302184
US,USA,United States,AL,Alabama,Lee,32.607485,-85.328947
US,USA,United States,AL,Alabama,Limestone,34.807445,-86.974946
US,USA,United States,AL,Alabama,Lowndes,32.171280,-86.659917
US,USA,United States,AL,Alabama,Macon,32.421555,-85.721158
US,USA,United States,AL,Alabama,Madison,34.730790,-86.588226
US,USA,United States,AL,Alabama,Marengo,32.331745,-87.788789
US,USA,United States,AL,Alabama,Marion,34.116331,-87.878737
US,USA,United States,AL,Alabama,Marshall,34.329598,-86.288884
US,USA,United States,AL,Alabama,Mobile,30.722256,-88.139667
US,USA,United States,AL,Alabama,Monroe,31.555656,-87.359637
US,USA,United States,AL,Alabama,Montgomery,32.331872,-86.260844
US,USA,United States,AL,Alabama,Morgan,34.507018,-86.918920
US,USA,United States,AL,Alabama,Perry,32.613284,-87.334017
US,USA,United States,AL,Alabama,Pickens,33.274090,-88.088963
US,USA,United States,AL,Alabama,Pike,31.792165,-85.937370
US,USA,United States,AL,Alabama,Randolph,33.262424,-85.445563
US,USA,United States,AL,Alabama,Russell,32.376002,-85.101100
US,USA,United States,AL,Alabama,St. Clair,33.667273,-86.329327
US,USA,United States,AL,Alabama,Shelby,33.269120,-86.698665
US,USA,United States,AL,Alabama,Sumter,32.558734,-88.215706
US,USA,United States,AL,Alabama,Talladega,33.368498,-86.178278
US,USA,United States,AL,Alabama,Tallapoosa,32.850131,-85.835005
US,USA,United States,AL,Alabama,Tuscaloosa,33.235600,-87.511691
US,USA,United States,AL,Alabama,Walker,33.819888,-87.285406
US,USA,United States,AL,Alabama,Washington,31.366088,-88.151002
US,USA,United States,AL,Alabama,Wilcox,31.993335,-87.348302
US,USA,United States,AL,Alabama,Winston,34.151249,-87.418848
US,USA,United States,AK,Alaska,Aleutians East Borough,55.125713,-162.030237
US,USA,United States,AK,Alaska,Aleutians West Census Area,52.319360,-172.454123
US,USA,United States,AK,Alaska,Anchorage Municipality,61.191900,-149.762097
US,USA,United States,AK,Alaska,Bethel Census Area,60.888556,-161.191411
US,USA,United States,AK,Alaska,Bristol Bay Borough,58.690594,-156.786726
US,USA,United States,AK,Alaska,Denali Borough,63.893564,-149.104615
US,USA,United States,AK,Alaska,Dillingham Census Area,59.190911,-158.614040
US,USA,United States,AK,Alaska,Fairbanks North Star Borough,64.818590,-147.568384
US,USA,United States,AK,Alaska,Haines Borough,59.245450,-135.529519
US,USA,United States,AK,Alaska,Juneau City and Borough,58.351422,-134.511579
US,USA,United States,AK,Alaska,Kenai Peninsula Borough,60.349178,-150.987663
US,USA,United States,AK,Alaska,Ketchikan Gateway Borough,55.354938,-131.620295
US,USA,United States,AK,Alaska,Kodiak Island Borough,57.694078,-152.682317
US,USA,United States,AK,Alaska,Lake and Peninsula Borough,58.605648,-156.409989
US,USA,United States,AK,Alaska,Matanuska-Susitna Borough,61.762742,-149.481089
US,USA,United States,AK,Alaska,Nome Census Area,64.809165,-164.346772
US,USA,United States,AK,Alaska,North Slope Borough,70.599509,-153.940111
US,USA,United States,AK,Alaska,Northwest Arctic Borough,66.822031,-160.646404
US,USA,United States,AK,Alaska,Prince of Wales-Outer Ketchikan Census Area,55.552229,-132.584730
US,USA,United States,AK,Alaska,Sitka City and Borough,57.079871,-135.331757
US,USA,United States,AK,Alaska,Skagway-Hoonah-Angoon Census Area,58.321676,-135.458953
US,USA,United States,AK,Alaska,Southeast Fairbanks Census Area,63.607284,-143.910084
US,USA,United States,AK,Alaska,Valdez-Cordova Census Area,61.458662,-145.325925
US,USA,United States,AK,Alaska,Wade Hampton Census Area,62.084927,-163.736818
US,USA,United States,AK,Alaska,Wrangell-Petersburg Census Area,56.714340,-133.073562
US,USA,United States,AK,Alaska,Yakutat City and Borough,59.793489,-140.271248
US,USA,United States,AK,Alaska,Yukon-Koyukuk Census Area,65.129566,-151.854704
US,USA,United States,AZ,Arizona,Apache,35.645278,-109.449620
US,USA,United States,AZ,Arizona,Cochise,31.750272,-109.904319
US,USA,United States,AZ,Arizona,Coconino,35.771440,-111.511062
US,USA,United States,AZ,Arizona,Gila,33.714683,-110.977311
US,USA,United States,AZ,Arizona,Graham,32.865056,-109.816242
US,USA,United States,AZ,Arizona,Greenlee,33.068497,-109.273764
US,USA,United States,AZ,Arizona,La Paz,33.863604,-114.045079
US,USA,United States,AZ,Arizona,Maricopa,33.494514,-112.087906
US,USA,United States,AZ,Arizona,Mohave,35.285985,-114.082709
US,USA,United States,AZ,Arizona,Navajo,35.406314,-110.256683
US,USA,United States,AZ,Arizona,Pima,32.178410,-111.088624
US,USA,United States,AZ,Arizona,Pinal,32.965668,-111.498113
US,USA,United States,AZ,Arizona,Santa Cruz,31.481900,-110.905734
US,USA,United States,AZ,Arizona,Yavapai,34.650332,-112.414707
US,USA,United States,AZ,Arizona,Yuma,32.684752,-114.388951
US,USA,United States,AR,Arkansas,Arkansas,34.359997,-91.429413
US,USA,United States,AR,Arkansas,Ashley,33.185420,-91.785346
US,USA,United States,AR,Arkansas,Baxter,36.312200,-92.354317
US,USA,United States,AR,Arkansas,Benton,36.354146,-94.246822
US,USA,United States,AR,Arkansas,Boone,36.285221,-93.065891
US,USA,United States,AR,Arkansas,Bradley,33.520920,-92.141138
US,USA,United States,AR,Arkansas,Calhoun,33.595502,-92.510135
US,USA,United States,AR,Arkansas,Carroll,36.364131,-93.566034
US,USA,United States,AR,Arkansas,Chicot,33.309088,-91.309446
US,USA,United States,AR,Arkansas,Clark,34.068954,-93.157703
US,USA,United States,AR,Arkansas,Clay,36.364388,-90.400570
US,USA,United States,AR,Arkansas,Cleburne,35.535227,-92.060882
US,USA,United States,AR,Arkansas,Cleveland,33.904731,-92.216337
US,USA,United States,AR,Arkansas,Columbia,33.249422,-93.229778
US,USA,United States,AR,Arkansas,Conway,35.207694,-92.713984
US,USA,United States,AR,Arkansas,Craighead,35.828198,-90.631993
US,USA,United States,AR,Arkansas,Crawford,35.523127,-94.260230
US,USA,United States,AR,Arkansas,Crittenden,35.197701,-90.272800
US,USA,United States,AR,Arkansas,Cross,35.279599,-90.786115
US,USA,United States,AR,Arkansas,Dallas,33.938130,-92.608187
US,USA,United States,AR,Arkansas,Desha,33.789358,-91.350302
US,USA,United States,AR,Arkansas,Drew,33.600602,-91.735642
US,USA,United States,AR,Arkansas,Faulkner,35.119477,-92.379944
US,USA,United States,AR,Arkansas,Franklin,35.477580,-93.884506
US,USA,United States,AR,Arkansas,Fulton,36.355003,-91.729311
US,USA,United States,AR,Arkansas,Garland,34.545307,-93.075894
US,USA,United States,AR,Arkansas,Grant,34.311031,-92.450809
US,USA,United States,AR,Arkansas,Greene,36.098211,-90.513709
US,USA,United States,AR,Arkansas,Hempstead,33.717614,-93.647930
US,USA,United States,AR,Arkansas,Hot Spring,34.337450,-92.891238
US,USA,United States,AR,Arkansas,Howard,34.050292,-93.964857
US,USA,United States,AR,Arkansas,Independence,35.757476,-91.587049
US,USA,United States,AR,Arkansas,Izard,36.139475,-91.874963
US,USA,United States,AR,Arkansas,Jackson,35.613258,-91.227582
US,USA,United States,AR,Arkansas,Jefferson,34.243795,-91.987152
US,USA,United States,AR,Arkansas,Johnson,35.498657,-93.484633
US,USA,United States,AR,Arkansas,Lafayette,33.272263,-93.563116
US,USA,United States,AR,Arkansas,Lawrence,36.070597,-91.071214
US,USA,United States,AR,Arkansas,Lee,34.780126,-90.763960
US,USA,United States,AR,Arkansas,Lincoln,33.978821,-91.709049
US,USA,United States,AR,Arkansas,Little River,33.697284,-94.220589
US,USA,United States,AR,Arkansas,Logan,35.220758,-93.755313
US,USA,United States,AR,Arkansas,Lonoke,34.779050,-91.912157
US,USA,United States,AR,Arkansas,Madison,36.031137,-93.730452
US,USA,United States,AR,Arkansas,Marion,36.291289,-92.681404
US,USA,United States,AR,Arkansas,Miller,33.384684,-93.968079
US,USA,United States,AR,Arkansas,Mississippi,35.806751,-90.030415
US,USA,United States,AR,Arkansas,Monroe,34.732843,-91.207816
US,USA,United States,AR,Arkansas,Montgomery,34.559133,-93.643872
US,USA,United States,AR,Arkansas,Nevada,33.689358,-93.327444
US,USA,United States,AR,Arkansas,Newton,35.967765,-93.188458
US,USA,United States,AR,Arkansas,Ouachita,33.574007,-92.861447
US,USA,United States,AR,Arkansas,Perry,34.982668,-92.861630
US,USA,United States,AR,Arkansas,Phillips,34.468372,-90.761973
US,USA,United States,AR,Arkansas,Pike,34.177310,-93.656805
US,USA,United States,AR,Arkansas,Poinsett,35.587012,-90.603918
US,USA,United States,AR,Arkansas,Polk,34.485490,-94.253631
US,USA,United States,AR,Arkansas,Pope,35.330478,-93.084446
US,USA,United States,AR,Arkansas,Prairie,34.807983,-91.534077
US,USA,United States,AR,Arkansas,Pulaski,34.766541,-92.294471
US,USA,United States,AR,Arkansas,Randolph,36.315472,-90.988939
US,USA,United States,AR,Arkansas,St. Francis,35.015874,-90.708841
US,USA,United States,AR,Arkansas,Saline,34.616381,-92.636449
US,USA,United States,AR,Arkansas,Scott,34.880858,-94.089691
US,USA,United States,AR,Arkansas,Searcy,35.920954,-92.688268
US,USA,United States,AR,Arkansas,Sebastian,35.293916,-94.351769
US,USA,United States,AR,Arkansas,Sevier,34.016649,-94.262899
US,USA,United States,AR,Arkansas,Sharp,36.190062,-91.498459
US,USA,United States,AR,Arkansas,Stone,35.874106,-92.169912
US,USA,United States,AR,Arkansas,Union,33.207179,-92.612793
US,USA,United States,AR,Arkansas,Van Buren,35.565783,-92.414162
US,USA,United States,AR,Arkansas,Washington,36.051379,-94.198684
US,USA,United States,AR,Arkansas,White,35.250106,-91.730562
US,USA,United States,AR,Arkansas,Woodruff,35.196189,-91.244090
US,USA,United States,AR,Arkansas,Yell,35.038510,-93.362084
US,USA,United States,CA,California,Alameda,37.716662,-122.096151
US,USA,United States,CA,California,Alpine,38.632506,-119.888663
US,USA,United States,CA,California,Amador,38.428879,-120.715248
US,USA,United States,CA,California,Butte,39.648354,-121.646310
US,USA,United States,CA,California,Calaveras,38.167573,-120.557245
US,USA,United States,CA,California,Colusa,39.187495,-122.152389
US,USA,United States,CA,California,Contra Costa,37.942423,-122.060886
US,USA,United States,CA,California,Del Norte,41.735225,-124.113924
US,USA,United States,CA,California,El Dorado,38.768651,-120.571902
US,USA,United States,CA,California,Fresno,36.638374,-119.903470
US,USA,United States,CA,California,Glenn,39.630023,-122.291407
US,USA,United States,CA,California,Humboldt,40.747403,-123.988265
US,USA,United States,CA,California,Imperial,32.963098,-115.487593
US,USA,United States,CA,California,Inyo,36.709037,-117.693329
US,USA,United States,CA,California,Kern,35.296023,-118.683344
US,USA,United States,CA,California,Kings,36.155141,-119.811272
US,USA,United States,CA,California,Lake,39.023264,-122.751791
US,USA,United States,CA,California,Lassen,40.612365,-120.720234
US,USA,United States,CA,California,Los Angeles,34.088510,-118.234216
US,USA,United States,CA,California,Madera,37.035073,-120.032438
US,USA,United States,CA,California,Marin,37.985723,-122.575951
US,USA,United States,CA,California,Mariposa,37.595471,-120.003539
US,USA,United States,CA,California,Mendocino,39.363102,-123.430217
US,USA,United States,CA,California,Merced,37.245783,-120.674118
US,USA,United States,CA,California,Modoc,41.527360,-120.790625
US,USA,United States,CA,California,Mono,37.853807,-118.961375
US,USA,United States,CA,California,Monterey,36.450732,-121.528953
US,USA,United States,CA,California,Napa,38.353762,-122.332133
US,USA,United States,CA,California,Nevada,39.270775,-120.814268
US,USA,United States,CA,California,Orange,33.731518,-117.861663
US,USA,United States,CA,California,Placer,38.971576,-120.947618
US,USA,United States,CA,California,Plumas,40.020149,-120.851195
US,USA,United States,CA,California,Riverside,33.783307,-116.803605
US,USA,United States,CA,California,Sacramento,38.561106,-121.389266
US,USA,United States,CA,California,San Benito,36.745753,-121.288843
US,USA,United States,CA,California,San Bernardino,34.392344,-116.982433
US,USA,United States,CA,California,San Diego,32.904616,-117.062993
US,USA,United States,CA,California,San Francisco,37.759881,-122.437392
US,USA,United States,CA,California,San Joaquin,37.945959,-121.281307
US,USA,United States,CA,California,San Luis Obispo,35.373909,-120.587460
US,USA,United States,CA,California,San Mateo,37.531037,-122.331932
US,USA,United States,CA,California,Santa Barbara,34.649384,-120.071425
US,USA,United States,CA,California,Santa Clara,37.306509,-121.912818
US,USA,United States,CA,California,Santa Cruz,37.002349,-121.973761
US,USA,United States,CA,California,Shasta,40.688705,-122.121202
US,USA,United States,CA,California,Sierra,39.582063,-120.534038
US,USA,United States,CA,California,Siskiyou,41.614943,-122.502816
US,USA,United States,CA,California,Solano,38.235934,-122.051826
US,USA,United States,CA,California,Sonoma,38.440089,-122.768624
US,USA,United States,CA,California,Stanislaus,37.613805,-120.958800
US,USA,United States,CA,California,Sutter,39.076193,-121.658159
US,USA,United States,CA,California,Tehama,40.123054,-122.135340
US,USA,United States,CA,California,Trinity,40.667129,-123.070397
US,USA,United States,CA,California,Tulare,36.234647,-119.166093
US,USA,United States,CA,California,Tuolumne,37.981845,-120.232775
US,USA,United States,CA,California,Ventura,34.277048,-119.045326
US,USA,United States,CA,California,Yolo,38.634155,-121.775709
US,USA,United States,CA,California,Yuba,39.207758,-121.422281
US,USA,United States,CO,Colorado,Adams,39.866716,-104.869954
US,USA,United States,CO,Colorado,Alamosa,37.509886,-105.803012
US,USA,United States,CO,Colorado,Arapahoe,39.641904,-104.841455
US,USA,United States,CO,Colorado,Archuleta,37.215642,-107.112531
US,USA,United States,CO,Colorado,Baca,37.348968,-102.534136
US,USA,United States,CO,Colorado,Bent,38.070366,-103.062997
US,USA,United States,CO,Colorado,Boulder,40.058094,-105.195154
US,USA,United States,CO,Colorado,Chaffee,38.657693,-106.089152
US,USA,United States,CO,Colorado,Cheyenne,38.816937,-102.523618
US,USA,United States,CO,Colorado,Clear Creek,39.717408,-105.610273
US,USA,United States,CO,Colorado,Conejos,37.185193,-106.067753
US,USA,United States,CO,Colorado,Costilla,37.288723,-105.501779
US,USA,United States,CO,Colorado,Crowley,38.225299,-103.794584
