CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
New South Wales,NSW,Woolooware,-34.05,151.133333,AUSTRALIA,AU,AUS
New South Wales,NSW,Gymea Bay,-34.05,151.083333,AUSTRALIA,AU,AUS
Northern Territory,NT,Alyangula,-13.848333,136.419167,AUSTRALIA,AU,AUS
New South Wales,NSW,Kianinny,-36.733333,149.983333,AUSTRALIA,AU,AUS
South Australia,SA,Hindmarsh,-34.901389,138.575,AUSTRALIA,AU,AUS
New South Wales,NSW,Deer Park,-34.066667,151.083333,AUSTRALIA,AU,AUS
Western Australia,WA,Nedlands,-31.983333,115.808333,AUSTRALIA,AU,AUS
New South Wales,NSW,Connells Point,-33.983333,151.083333,AUSTRALIA,AU,AUS
South Australia,SA,Perara,-34.45,137.9,AUSTRALIA,AU,AUS
New South Wales,NSW,East Maitland,-32.75,151.583333,AUSTRALIA,AU,AUS
Western Australia,WA,Mullalloo Beach,-31.783333,115.733333,AUSTRALIA,AU,AUS
New South Wales,NSW,Gundamaian,-34.066667,151.091667,AUSTRALIA,AU,AUS
Victoria,VIC,Laverton,-37.864167,144.775833,AUSTRALIA,AU,AUS
New South Wales,NSW,Gore Hill,-33.816667,151.1825,AUSTRALIA,AU,AUS
Tasmania,TAS,South Burnie,-41.058333,145.908333,AUSTRALIA,AU,AUS
Queensland,QLD,Gebelum,-27.276111,153.397222,AUSTRALIA,AU,AUS
Queensland,QLD,Kooringal,-27.354722,153.417778,AUSTRALIA,AU,AUS
Queensland,QLD,Canalpin,-27.586389,153.410833,AUSTRALIA,AU,AUS
New South Wales,NSW,Forestville,-33.766667,151.208333,AUSTRALIA,AU,AUS
New South Wales,NSW,Bronte,-33.9,151.266667,AUSTRALIA,AU,AUS
New South Wales,NSW,Deewhy,-33.75,151.3,AUSTRALIA,AU,AUS
Queensland,QLD,Nebe,-21.683333,148.683333,AUSTRALIA,AU,AUS
Queensland,QLD,Nebo,-21.683333,148.683333,AUSTRALIA,AU,AUS
New South Wales,NSW,Morangarell,-34.15,147.7,AUSTRALIA,AU,AUS
Queensland,QLD,Weithew,-25.016667,152.05,AUSTRALIA,AU,AUS
Queensland,QLD,Weithem,-25.016667,152.05,AUSTRALIA,AU,AUS
Queensland,QLD,Trinity Beach,-16.783333,145.7,AUSTRALIA,AU,AUS
