CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Vorarlberg,8,Westegg,47.365278,10.199444,AUSTRIA,AT,AUT
Burgenland,1,Neuhof,48.047222,16.887778,AUSTRIA,AT,AUT
Niederösterreich,,Feichtal,48.121111,16.961944,AUSTRIA,AT,AUT
Niederösterreich,,Jägerhaussiedlung,48.163611,16.975,AUSTRIA,AT,AUT
Niederösterreich,,Neue Siedlung,48.121389,16.928889,AUSTRIA,AT,AUT
Steiermark,6,Höch,46.783333,15.428333,AUSTRIA,AT,AUT
Steiermark,6,Sankt Oswald ob Eibiswald,46.708333,15.146667,AUSTRIA,AT,AUT
Kärnten,,Schwaiger,46.792222,14.730278,AUSTRIA,AT,AUT
Steiermark,6,Tscheppe,46.646944,15.506111,AUSTRIA,AT,AUT
Kärnten,,Mauchler,46.677222,14.75,AUSTRIA,AT,AUT
Kärnten,,Finkenstein,46.565556,13.865278,AUSTRIA,AT,AUT
Burgenland,1,Langberg,46.961944,16.232222,AUSTRIA,AT,AUT
Burgenland,1,Hochgebirg,46.968889,16.200833,AUSTRIA,AT,AUT
Vorarlberg,8,Elmauen,47.501667,9.9775,AUSTRIA,AT,AUT
Tirol,7,Gießenschwand,47.578056,10.441111,AUSTRIA,AT,AUT
Vorarlberg,8,Au,47.520833,9.866111,AUSTRIA,AT,AUT
Steiermark,6,Steingraben,47.183333,15.433333,AUSTRIA,AT,AUT
Steiermark,6,Annajörgl,47.183333,15.533333,AUSTRIA,AT,AUT
Tirol,7,Landschütz,47.033333,12.516667,AUSTRIA,AT,AUT
Vorarlberg,8,Fallenberg,47.530278,9.772778,AUSTRIA,AT,AUT
Vorarlberg,8,Altreute,47.510833,9.764722,AUSTRIA,AT,AUT
Kärnten,,Ruttach,46.6,14.733333,AUSTRIA,AT,AUT
Kärnten,,Rute,46.6,14.733333,AUSTRIA,AT,AUT
Steiermark,6,Rosatin,46.971111,13.8775,AUSTRIA,AT,AUT
Steiermark,6,Rosatin Alm,46.971111,13.8775,AUSTRIA,AT,AUT
Niederösterreich,,Föhrenhain,48.316667,16.45,AUSTRIA,AT,AUT
Steiermark,6,Oberrosegg,47.2,15.566667,AUSTRIA,AT,AUT
Niederösterreich,,Hochleithen,48.466667,16.533333,AUSTRIA,AT,AUT
Kärnten,,Drazja vas,46.482222,14.445556,AUSTRIA,AT,AUT
Steiermark,6,Sternleiten,47.05,15.533333,AUSTRIA,AT,AUT
Steiermark,6,Wölling,47.233333,15.466667,AUSTRIA,AT,AUT
Tirol,7,Vordersteinberg,47.518056,11.791667,AUSTRIA,AT,AUT
Steiermark,6,Freßnitzviertel,47.166667,15.383333,AUSTRIA,AT,AUT
Steiermark,6,Egg,47.166667,15.5,AUSTRIA,AT,AUT
Tirol,7,Kaser,46.738889,12.561944,AUSTRIA,AT,AUT
Niederösterreich,,Neu-Pischelsdorf,48.040556,16.517778,AUSTRIA,AT,AUT
Tirol,7,Badhaus,47.433333,12.4,AUSTRIA,AT,AUT
Tirol,7,Magnesilwerk,47.466667,12.633333,AUSTRIA,AT,AUT
Kärnten,,Alt-Sankt Michael,46.481389,14.153889,AUSTRIA,AT,AUT
Vorarlberg,8,Amerlügen,47.208333,9.608611,AUSTRIA,AT,AUT
Salzburg,5,Hintergitzen,47.8525,13.025833,AUSTRIA,AT,AUT
Oberösterreich,,Oberschacher,48.548889,13.611389,AUSTRIA,AT,AUT
Burgenland,1,Liembleck,46.85,16.016667,AUSTRIA,AT,AUT
Salzburg,5,Pernerstätt,47.929444,13.060278,AUSTRIA,AT,AUT
Oberösterreich,,Berg,48.500833,13.705833,AUSTRIA,AT,AUT
Steiermark,6,Reitingau,47.410556,14.814167,AUSTRIA,AT,AUT
Kärnten,,Winkling,46.790833,14.801667,AUSTRIA,AT,AUT
Steiermark,6,Badl,47.233333,15.35,AUSTRIA,AT,AUT
Oberösterreich,,Amesedt,48.550556,13.816944,AUSTRIA,AT,AUT
Steiermark,6,Predlitzwinkel,47.029167,13.891944,AUSTRIA,AT,AUT
Kärnten,,Görtschach,46.6375,14.231111,AUSTRIA,AT,AUT
Kärnten,,Stuttern,46.681111,14.392778,AUSTRIA,AT,AUT
Steiermark,6,Oberrötschbach,47.216667,15.433333,AUSTRIA,AT,AUT
Kärnten,,Sankt Stefan,46.585,14.038889,AUSTRIA,AT,AUT
Salzburg,5,Sprungedt,47.968611,13.052778,AUSTRIA,AT,AUT
Kärnten,,Tiebel,46.765556,14.009722,AUSTRIA,AT,AUT
Tirol,7,Krotemoossiedlung,47.555833,10.6375,AUSTRIA,AT,AUT
Salzburg,5,Eberharting,47.951944,12.995,AUSTRIA,AT,AUT
Salzburg,5,Schmieden,47.978056,12.9675,AUSTRIA,AT,AUT
Oberösterreich,,Großamberg,48.344722,14.235,AUSTRIA,AT,AUT
Oberösterreich,,Untergrub,48.513333,13.605278,AUSTRIA,AT,AUT
Oberösterreich,,Ratzesberg,48.524722,13.784167,AUSTRIA,AT,AUT
Vorarlberg,8,Hüttenbühl,47.530556,9.910556,AUSTRIA,AT,AUT
Steiermark,6,Fuß der Leber,47.15,15.416667,AUSTRIA,AT,AUT
Oberösterreich,,Rutzingerdorf,48.323611,14.099722,AUSTRIA,AT,AUT
Oberösterreich,,Schlag,48.5125,13.815278,AUSTRIA,AT,AUT
Kärnten,,Velden,47.033056,14.441111,AUSTRIA,AT,AUT
Steiermark,6,Gstein,47.027222,14.466667,AUSTRIA,AT,AUT
Kärnten,,Mauterndorf,46.938333,14.826389,AUSTRIA,AT,AUT
Steiermark,6,Maßweg,47.215556,14.7925,AUSTRIA,AT,AUT
Vorarlberg,8,Hütten,47.508889,9.982222,AUSTRIA,AT,AUT
Steiermark,6,Unterfriesach,47.166667,15.333333,AUSTRIA,AT,AUT
Kärnten,,Zerjau,46.466667,14.290278,AUSTRIA,AT,AUT
Oberösterreich,,Unterfreinberg,48.565833,13.506944,AUSTRIA,AT,AUT
Salzburg,5,Wiesen,47.896111,13.036389,AUSTRIA,AT,AUT
Salzburg,5,Krimpelstätten,47.908056,13.070278,AUSTRIA,AT,AUT
Salzburg,5,Moos,47.961667,13.056667,AUSTRIA,AT,AUT
Salzburg,5,Pointlau,47.940833,12.986389,AUSTRIA,AT,AUT
Salzburg,5,Kälberpoint,47.978333,13.071111,AUSTRIA,AT,AUT
Salzburg,5,Buchstätt,47.907778,13.010833,AUSTRIA,AT,AUT
Salzburg,5,Angerberg,47.283333,12.683333,AUSTRIA,AT,AUT
Salzburg,5,Grünau,47.792222,12.957222,AUSTRIA,AT,AUT
Salzburg,5,Fahrenzagl,47.865833,13.075556,AUSTRIA,AT,AUT
Salzburg,5,Girling,47.875556,13.070833,AUSTRIA,AT,AUT
Salzburg,5,Berg,47.878611,13.028333,AUSTRIA,AT,AUT
Tirol,7,Görtschach,46.916667,12.433333,AUSTRIA,AT,AUT
Steiermark,6,Kienach,47.490556,14.076667,AUSTRIA,AT,AUT
Oberösterreich,,Grubdorf-Siedlung,48.475556,14.170556,AUSTRIA,AT,AUT
Salzburg,5,Doppl,47.905833,13.016389,AUSTRIA,AT,AUT
Kärnten,,Kerschdorf,46.788889,14.11,AUSTRIA,AT,AUT
Tirol,7,Sankt Justina,46.783333,12.583333,AUSTRIA,AT,AUT
Niederösterreich,,Schmida,48.383333,16.116667,AUSTRIA,AT,AUT
Niederösterreich,,Am See,48.699722,16.105556,AUSTRIA,AT,AUT
Steiermark,6,Klazenberg,47.453056,13.915833,AUSTRIA,AT,AUT
Salzburg,5,Spitzesed,47.944444,13.055556,AUSTRIA,AT,AUT
Niederösterreich,,Taubenberg,48.598889,15.870278,AUSTRIA,AT,AUT
Vorarlberg,8,Ziegelbach,47.55,9.75,AUSTRIA,AT,AUT
Burgenland,1,Langeck im Burgenland,47.4,16.366667,AUSTRIA,AT,AUT
Burgenland,1,Langeck,47.4,16.366667,AUSTRIA,AT,AUT
Niederösterreich,,Oberwölbling,48.316667,15.583333,AUSTRIA,AT,AUT
Niederösterreich,,Patzmannsdorf,48.633333,16.266667,AUSTRIA,AT,AUT
Vorarlberg,8,Zürsch,47.166667,10.166667,AUSTRIA,AT,AUT
Vorarlberg,8,Zürs,47.166667,10.166667,AUSTRIA,AT,AUT
Steiermark,6,Untere Stanz,47.466667,15.5,AUSTRIA,AT,AUT
Niederösterreich,,Mariathal,48.566667,16.116667,AUSTRIA,AT,AUT
Kärnten,,Untertweng,46.79,13.735833,AUSTRIA,AT,AUT
Kärnten,,Unterdorf,46.633333,14.866667,AUSTRIA,AT,AUT
