CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Wallonia [conventional] / Wallonie [French],,Haute Noucelles,50.683333,4.316667,BELGIUM,BE,BEL
Wallonia [conventional] / Wallonie [French],,Haute Noucelle,50.683333,4.316667,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Drie Egypten,50.8,4.066667,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Ekelendries,50.8,4.066667,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Eikelendries,50.8,4.066667,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Eekeendries,50.8,4.066667,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Berchem,50.816667,4.066667,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Puttenberg,50.833333,4.066667,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Kleemputten,50.883333,4.083333,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Willendries,50.998159,4.530404,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Spreeuwenhoek,51.010418,4.503682,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Kraai Venne,51.016667,4.6,BELGIUM,BE,BEL
Flanders [conventional] / Vlaanderen [Dutch],,Plankebrug,51.033333,4.8,BELGIUM,BE,BEL
Wallonia [conventional] / Wallonie [French],,La Guenette,50.566667,4.316667,BELGIUM,BE,BEL
Wallonia [conventional] / Wallonie [French],,Wisterzée,50.5,4.566667,BELGIUM,BE,BEL
Wallonia [conventional] / Wallonie [French],,Les dix Bonniers,50.633333,4.1,BELGIUM,BE,BEL
Wallonia [conventional] / Wallonie [French],,Dujacquier,50.65,4.2,BELGIUM,BE,BEL
Brussels-Capital Region [conventional] / Brussels Hoofdstedelijk [Dutch] /,,Geleitsbeek,50.783333,4.333333,BELGIUM,BE,BEL
