CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Alberta [English and French],,Mackay,53.65,-115.583333,CANADA,CA,CAN
Ontario [English and French],,Macdiarmid,49.433333,-88.116667,CANADA,CA,CAN
Nova Scotia [English] / Nouvelle-Écosse [French],,Apple River,45.466667,-64.783333,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Alert Bay,50.583333,-126.916667,CANADA,CA,CAN
Ontario [English and French],,Nipigon,49.016667,-88.25,CANADA,CA,CAN
Alberta [English and French],,Calmar,53.25,-113.783333,CANADA,CA,CAN
Ontario [English and French],,Caledon,43.866667,-80,CANADA,CA,CAN
Alberta [English and French],,Lamont,53.75,-112.783333,CANADA,CA,CAN
Saskatchewan [English and French],,Jordan River,53.15,-103.466667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Saint-François-Xavier-de-la-Petite-Rivière,47.316667,-70.566667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Saint François Xavier,47.316667,-70.566667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Petite-Rivière,47.316667,-70.566667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Saint Francis Xavier,47.316667,-70.566667,CANADA,CA,CAN
Quebec [English] / Québec [French],,La Petite-Rivière-Saint-François,47.316667,-70.566667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Petit-Rivière,47.316667,-70.566667,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Tsawwassen,49.016667,-123.083333,CANADA,CA,CAN
Saskatchewan [English and French],,Saint-Isidore-de-Bellevue,52.783333,-105.916667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Saint-Henri-de-Taillon,48.666667,-71.816667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Sainte-Famille,46.966667,-70.95,CANADA,CA,CAN
Quebec [English] / Québec [French],,Lac-Chat,47.166667,-72.633333,CANADA,CA,CAN
Newfoundland and Labrador [English] / Terre Neuve-et-Labrador [French],,Daniels Harbour,50.233333,-57.583333,CANADA,CA,CAN
Newfoundland and Labrador [English] / Terre Neuve-et-Labrador [French],,Daniels Cove,50.233333,-57.583333,CANADA,CA,CAN
Ontario [English and French],,Heron Bay,48.65,-86.283333,CANADA,CA,CAN
Nunavut [English and French],,Cape Dyer,66.666667,-61.366667,CANADA,CA,CAN
Quebec [English] / Québec [French],,Cap-de-la-Madeleine,46.366667,-72.5,CANADA,CA,CAN
Ontario [English and French],,Kashabowie,48.65,-90.433333,CANADA,CA,CAN
Prince Edward Island [English] / Île-du-Prince-Édouard [French],,Murray Harbour,46.016667,-62.533333,CANADA,CA,CAN
Manitoba [English and French],,Brandon,49.833333,-99.95,CANADA,CA,CAN
Ontario [English and French],,Bradford,44.116667,-79.566667,CANADA,CA,CAN
Nova Scotia [English] / Nouvelle-Écosse [French],,Coxheath,46.116667,-60.233333,CANADA,CA,CAN
Ontario [English and French],,Warren,46.433333,-80.3,CANADA,CA,CAN
Alberta [English and French],,Wardlow,50.9,-111.55,CANADA,CA,CAN
Alberta [English and French],,Rich Lake,54.509167,-111.618056,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Tintagel,54.2,-125.083333,CANADA,CA,CAN
Newfoundland and Labrador [English] / Terre Neuve-et-Labrador [French],,Tilting,49.683333,-54.05,CANADA,CA,CAN
Quebec [English] / Québec [French],,Saint Paul,45.45,-73.583333,CANADA,CA,CAN
Quebec [English] / Québec [French],,Campbells Bay,45.733333,-76.6,CANADA,CA,CAN
Quebec [English] / Québec [French],,Marieville,45.433333,-73.166667,CANADA,CA,CAN
Saskatchewan [English and French],,Lillestrom,50.266667,-105.883333,CANADA,CA,CAN
Quebec [English] / Québec [French],,Baie-d’Urfé,45.4,-73.916667,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Log Cabin,59.85,-134.983333,CANADA,CA,CAN
Saskatchewan [English and French],,Lemsford,50.85,-109.116667,CANADA,CA,CAN
Saskatchewan [English and French],,Kipling Station,50.1,-102.633333,CANADA,CA,CAN
Ontario [English and French],,Kingsville,42.033333,-82.75,CANADA,CA,CAN
Manitoba [English and French],,Snake,51.733333,-96.916667,CANADA,CA,CAN
Manitoba [English and French],,Matheson Island,51.733333,-96.916667,CANADA,CA,CAN
Newfoundland and Labrador [English] / Terre Neuve-et-Labrador [French],,Grand Falls,48.933333,-55.65,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Shoreacres,49.433333,-117.533333,CANADA,CA,CAN
Northwest Territories [English] / Territoires du Nord-Ouest [French],,Rocher River,61.383333,-112.75,CANADA,CA,CAN
Northwest Territories [English] / Territoires du Nord-Ouest [French],,Taltson River,61.383333,-112.75,CANADA,CA,CAN
Northwest Territories [English] / Territoires du Nord-Ouest [French],,Talston River,61.383333,-112.75,CANADA,CA,CAN
Newfoundland and Labrador [English] / Terre Neuve-et-Labrador [French],,Lawn,46.933333,-55.55,CANADA,CA,CAN
Quebec [English] / Québec [French],,Laval,45.6,-73.733333,CANADA,CA,CAN
Quebec [English] / Québec [French],,Fabreville,45.566667,-73.65,CANADA,CA,CAN
,,New-Liverpool,46.75,-71.266667,CANADA,CA,CAN
Ontario [English and French],,Minaki,49.983333,-94.65,CANADA,CA,CAN
Nova Scotia [English] / Nouvelle-Écosse [French],,Port Williams,44.95,-65.266667,CANADA,CA,CAN
Nova Scotia [English] / Nouvelle-Écosse [French],,Port Lorne,44.95,-65.266667,CANADA,CA,CAN
Nova Scotia [English] / Nouvelle-Écosse [French],,Marshall Cove,44.95,-65.266667,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Port Hardy,50.716667,-127.5,CANADA,CA,CAN
Alberta [English and French],,Scapa,51.866667,-111.983333,CANADA,CA,CAN
Quebec [English] / Québec [French],,Saint-Anaclet,48.483333,-68.433333,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Seventy Mile,51.3,-121.4,CANADA,CA,CAN
British Columbia [English] / Colombie-Britannique [French],,Prince George,53.916667,-122.766667,CANADA,CA,CAN
