CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Syddanmark,,Ulkebøl,54.928888,9.820931,DENMARK,DK,DNK
Midtjylland,,Tvede,56.543478,10.175176,DENMARK,DK,DNK
Midtjylland,,Tranbjærg,56.090105,10.11937,DENMARK,DK,DNK
Midtjylland,,Tranbjerg,56.090105,10.11937,DENMARK,DK,DNK
Syddanmark,,Tovrup,54.95437,9.955586,DENMARK,DK,DNK
Syddanmark,,Tostebjærg,55.093625,10.16568,DENMARK,DK,DNK
Syddanmark,,Tostebjerg,55.093625,10.16568,DENMARK,DK,DNK
Syddanmark,,Torup Kohave,55.328642,10.487667,DENMARK,DK,DNK
Syddanmark,,Kohave,55.328642,10.487667,DENMARK,DK,DNK
Syddanmark,,Tokkendrup,55.497658,10.381373,DENMARK,DK,DNK
Midtjylland,,Toggerbo,56.214483,10.544013,DENMARK,DK,DNK
Midtjylland,,Toftum,55.894849,9.990021,DENMARK,DK,DNK
Midtjylland,,Testrup,56.067182,10.132404,DENMARK,DK,DNK
Nordjylland,080,Sønderhede,57.50026,10.055758,DENMARK,DK,DNK
Nordjylland,080,Sønderhede,57.249704,9.953607,DENMARK,DK,DNK
Nordjylland,080,Sønderhede,57.215544,10.049665,DENMARK,DK,DNK
Syddanmark,,Sønderhav,54.860933,9.4984,DENMARK,DK,DNK
Hovedstaden,,Udsholt Sand,56.112442,12.208405,DENMARK,DK,DNK
Hovedstaden,,Udsholt,56.094908,12.203746,DENMARK,DK,DNK
Midtjylland,,Udbyovre,56.648785,10.214141,DENMARK,DK,DNK
Midtjylland,,Udbyover,56.648785,10.214141,DENMARK,DK,DNK
Nordjylland,080,Torup,57.185445,10.224579,DENMARK,DK,DNK
Nordjylland,080,Torup,56.820625,9.975924,DENMARK,DK,DNK
Midtjylland,,Torup,56.195855,10.469301,DENMARK,DK,DNK
Hovedstaden,,Torup,55.983098,11.942004,DENMARK,DK,DNK
Hovedstaden,,Toverup,55.983098,11.942004,DENMARK,DK,DNK
Midtjylland,,Tørslev,56.529724,10.344908,DENMARK,DK,DNK
Hovedstaden,,Tørslev,55.81113,12.02346,DENMARK,DK,DNK
Syddanmark,,Tørsbøl,54.913293,9.493523,DENMARK,DK,DNK
Midtjylland,,Tørring Kær,56.586483,10.243015,DENMARK,DK,DNK
Syddanmark,,Törring,55.220752,10.259595,DENMARK,DK,DNK
Syddanmark,,Tørringe,55.220752,10.259595,DENMARK,DK,DNK
Syddanmark,,Turup,55.301359,9.995975,DENMARK,DK,DNK
Midtjylland,,Udbyneder,56.660714,10.237404,DENMARK,DK,DNK
Midtjylland,,Udbynedre,56.660714,10.237404,DENMARK,DK,DNK
Midtjylland,,Udbyhøj,56.595725,10.313579,DENMARK,DK,DNK
Midtjylland,,Udbyhøj Vasehuse,56.595725,10.313579,DENMARK,DK,DNK
Midtjylland,,Udby,56.573594,10.296126,DENMARK,DK,DNK
Hovedstaden,,Ubberup,55.936483,12.076922,DENMARK,DK,DNK
Syddanmark,,Tullebølle,54.957378,10.796157,DENMARK,DK,DNK
Nordjylland,080,Tuen,57.587948,10.289437,DENMARK,DK,DNK
Syddanmark,,Tryggelev,54.80259,10.701719,DENMARK,DK,DNK
Nordjylland,080,Try,57.309693,10.283743,DENMARK,DK,DNK
Nordjylland,080,Trye,57.309693,10.283743,DENMARK,DK,DNK
Nordjylland,080,Try,57.142206,10.226955,DENMARK,DK,DNK
Nordjylland,080,Trye,57.142206,10.226955,DENMARK,DK,DNK
Midtjylland,,Trustrup,56.383405,10.102355,DENMARK,DK,DNK
Midtjylland,,TRUE,56.176627,10.087021,DENMARK,DK,DNK
Syddanmark,,Trøstrup,55.435996,10.25221,DENMARK,DK,DNK
Hovedstaden,,Trørød,55.839465,12.544316,DENMARK,DK,DNK
Nordjylland,080,Ugerby,57.565886,10.110959,DENMARK,DK,DNK
Nordjylland,080,Uggerby,57.565886,10.110959,DENMARK,DK,DNK
Hovedstaden,,Uggeløse,55.838795,12.262064,DENMARK,DK,DNK
Midtjylland,,Ugelhuse,56.468841,10.218084,DENMARK,DK,DNK
Midtjylland,,Uglehuse,56.468841,10.218084,DENMARK,DK,DNK
Midtjylland,,Uggelhuse,56.468841,10.218084,DENMARK,DK,DNK
Midtjylland,,Ugelbølle,56.305407,10.412124,DENMARK,DK,DNK
