CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Donegal [English] / Dún na nGall [Irish],,Bun Cranncha,55.133333,-7.45,IRELAND,IE,IRL
Donegal [English] / Dún na nGall [Irish],,Buncrana,55.133333,-7.45,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Farran,52.190556,-10.429722,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Caherbullig,52.1175,-10.403333,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Ballylusky,52.194167,-10.359167,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Teeravane,52.1575,-10.4425,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Feohanagh,52.216111,-10.355556,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,An Fheothanach,52.216111,-10.355556,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Reenconnell,52.184722,-10.315833,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Ballinknockane,52.235278,-10.300556,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Ballymacquin Upper,52.364722,-9.820556,IRELAND,IE,IRL
Cork [English] / Corcaigh [Irish],,Gallatrim,51.764722,-8.754167,IRELAND,IE,IRL
Cork [English] / Corcaigh [Irish],,Carrigagrenane Cross Roads,51.644722,-9.065556,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Carker,52.155556,-9.3825,IRELAND,IE,IRL
Kerry [English] / Ciarraí [Irish],,Cools,51.857778,-10.297222,IRELAND,IE,IRL
Cork [English] / Corcaigh [Irish],,Dromdowney,52.174444,-8.725278,IRELAND,IE,IRL
Cork [English] / Corcaigh [Irish],,Knockansweeny,52.108333,-8.731389,IRELAND,IE,IRL
Cork [English] / Corcaigh [Irish],,Clykeel Leary’s Cross,52.07,-8.218056,IRELAND,IE,IRL
Cork [English] / Corcaigh [Irish],,Togher Bridge,51.776944,-9.170833,IRELAND,IE,IRL
Wexford [English] / Loch Garman [Irish],,Stoneenrath Cross Roads,52.309167,-6.728611,IRELAND,IE,IRL
Cork [English] / Corcaigh [Irish],,Tobernaclougha Cross Roads,52.251944,-9.025278,IRELAND,IE,IRL
