CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Etelä-Savo [Finnish] / Södra Savolax [Swedish],,Vanhamäki,61.8,26.933333,FINLAND,FI,FIN
Etelä-Savo [Finnish] / Södra Savolax [Swedish],,Pertunmaa,61.5,26.483333,FINLAND,FI,FIN
Etelä-Savo [Finnish] / Södra Savolax [Swedish],,Rytkölä,62.083333,26.3,FINLAND,FI,FIN
Kymenlaakso [Finnish] / Kymmenedalen [Swedish],,Kasarminmäki,60.883333,26.666667,FINLAND,FI,FIN
Kymenlaakso [Finnish] / Kymmenedalen [Swedish],,Hartola,61.15,26.516667,FINLAND,FI,FIN
Kymenlaakso [Finnish] / Kymmenedalen [Swedish],,Kurensuo,60.783333,26.666667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Halinen,60.468056,22.3225,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kurala,60.458056,22.333333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kohmo,60.461111,22.343333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kausela,60.466667,22.35,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kärsämäki,60.487222,22.289167,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Moisio,60.526667,22.313889,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Oriketo,60.480556,22.318611,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Metsämäki,60.486944,22.331111,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Saramäki,60.500556,22.330833,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Ilmarinen,60.483333,22.333333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Paimala,60.516667,22.35,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Purunpää,60.016667,22.4,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kaxskäla,59.966667,22.433333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kaxela,59.966667,22.433333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Lövö,59.972222,22.454167,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Rövik,60.016667,22.45,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Söderlångvik,60.033333,22.433333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Bodbacken,60.024722,22.464167,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Lomarkylä,60.183333,22.422222,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Skravsö,60.220278,22.363333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Ängsholm,60.225556,22.363333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Pästerpaa,60.233333,22.55,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Päisterpää,60.233333,22.55,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Norrlångvik,60.15,22.633333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Bogsböle,60.166667,22.633333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Digerdal,60.2,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Degerdal,60.2,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Ekniemi,60.216667,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Eknäs,60.216667,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Pungböle,60.216667,22.633333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Halslahti,60.233333,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Lilhalslax,60.233333,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Halslax,60.233333,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Halslaks,60.233333,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Lillhalslahti,60.233333,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Smörvik,60.266667,22.516667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Tapola,60.283333,22.516667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Karuna,60.266667,22.55,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kasklaks,60.283333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kasklahti,60.283333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kosklahti,60.283333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Syvälahti,60.3,22.516667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kråknäs,60.3,22.516667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Steininge,60.3,22.533333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Steninge,60.3,22.533333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Fröjdböle,60.316667,22.55,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Froibele,60.316667,22.55,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Ruonlax,60.333333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Ruonlahti,60.333333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Narslak,60.333333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Naarslahti,60.333333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Norrlax,60.333333,22.566667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kärkkinen,60.266667,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kärkinen,60.266667,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Korkis,60.266667,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Tuuvala,60.383333,22.633333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Tuuvalo,60.383333,22.633333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Aakoinen,60.383333,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Fuila,60.4,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Auvainen,60.666667,22.583333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kaulansuu,60.7,22.583333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Lankkinen,60.7,22.6,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Niitynpää,60.766667,22.45,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Osa,60.783333,22.45,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Mustanoja,60.733333,22.616667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Kolkkinen,60.75,22.65,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Juva,60.783333,22.616667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Ojala,60.8,22.633333,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Liedonperä,60.6,22.666667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Pöytyä,60.766667,22.666667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Östergård,59.95,22.716667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Bolax,59.95,22.716667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Siksala,60.033333,22.866667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Siksalo,60.033333,22.866667,FINLAND,FI,FIN
Varsinais-Suomi [Finnish] / Egentliga Finland [Swedish],,Söderby,60.016667,22.883333,FINLAND,FI,FIN
