CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
,,Victoria (historical),22.2875,114.144167,HONG KONG,HK,HKG
,,Tai Kek,22.416667,114.066667,HONG KONG,HK,HKG
,,Ha Yeung,22.3,114.283333,HONG KONG,HK,HKG
,,Yuen Long Kau Hui,22.45,114.033333,HONG KONG,HK,HKG
,,Tai Wo,22.466667,114.15,HONG KONG,HK,HKG
,,Wan Tsai,22.166667,114.25,HONG KONG,HK,HKG
,,Wan Chai,22.166667,114.25,HONG KONG,HK,HKG
,,Ma Shi Po,22.5,114.15,HONG KONG,HK,HKG
,,Chai Wan,22.266667,114.233333,HONG KONG,HK,HKG
,,Pak Shek Wo,22.333333,114.233333,HONG KONG,HK,HKG
,,Yi Chuen,22.35,114.05,HONG KONG,HK,HKG
,,Wang Toi Shan,22.45,114.1,HONG KONG,HK,HKG
,,Ma Mei Ha Leng Tsui,22.516667,114.166667,HONG KONG,HK,HKG
,,Lai Chi Yuen,22.383333,114.183333,HONG KONG,HK,HKG
,,Kennedy Town,22.283333,114.116667,HONG KONG,HK,HKG
,,Mau Ping,22.383333,114.233333,HONG KONG,HK,HKG
,,Tai Pak,22.3,114.016667,HONG KONG,HK,HKG
,,Shing Uk,22.266667,114.233333,HONG KONG,HK,HKG
,,Tsin Shui Ma Tau,22.283333,114.233333,HONG KONG,HK,HKG
,,Lower Keung Shan,22.25,113.883333,HONG KONG,HK,HKG
,,Keung Shan,22.25,113.883333,HONG KONG,HK,HKG
,,Wai Tsai,22.483333,114.05,HONG KONG,HK,HKG
,,Lin Au,22.45,114.15,HONG KONG,HK,HKG
,,Ma Yiu,22.45,114.233333,HONG KONG,HK,HKG
,,Tai Hong Wai,22.45,114.066667,HONG KONG,HK,HKG
,,Yung Shue Ha,22.2,114.133333,HONG KONG,HK,HKG
,,九龙,22.326692,114.186224,HONG KONG,HK,HKG
,,Jiulong,22.326692,114.186224,HONG KONG,HK,HKG
,,Chiu-lung,22.326692,114.186224,HONG KONG,HK,HKG
,,Kowloon,22.326692,114.186224,HONG KONG,HK,HKG
,,九龍,22.326692,114.186224,HONG KONG,HK,HKG
,,Nam Wai,22.35,114.25,HONG KONG,HK,HKG
,,Nam Chung Cheng Uk,22.516667,114.2,HONG KONG,HK,HKG
,,Kwun Hang,22.433333,114.25,HONG KONG,HK,HKG
,,Chung Kwai Chung,22.366667,114.133333,HONG KONG,HK,HKG
,,Kwai Chung,22.366667,114.133333,HONG KONG,HK,HKG
,,Kon Hang,22.433333,114.2,HONG KONG,HK,HKG
,,Ko Long,22.216667,114.1,HONG KONG,HK,HKG
