CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Friuli-Venezia Giulia,36,Bicinicco di Sotto,45.931667,13.2525,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Rupa,45.891389,13.589722,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Sant’Andràt,45.919444,13.156111,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Mereto di Capítolo,45.925278,13.296944,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Melarolo,45.955556,13.326944,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Merlana,45.951667,13.310556,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Crosere,45.796944,13.019444,ITALY,IT,ITA
Lazio,62,Fiordini,42.533333,12.033333,ITALY,IT,ITA
Lazio,62,Fiordine,42.533333,12.033333,ITALY,IT,ITA
Lazio,62,Montefiascone,42.533333,12.033333,ITALY,IT,ITA
Friuli-Venezia Giulia,36,San Zanùt,45.834722,13.470278,ITALY,IT,ITA
Lazio,62,Barbarano Romano,42.25,12.066667,ITALY,IT,ITA
Lazio,62,Montalto di Castro,42.35,11.616667,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Lido,45.678333,13.4025,ITALY,IT,ITA
Lazio,62,Pescia Fiorentina,42.433333,11.483333,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Casette,45.715833,13.051944,ITALY,IT,ITA
Friuli-Venezia Giulia,36,San Gervásio,45.8125,13.161389,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Galli,45.828889,13.193611,ITALY,IT,ITA
Lazio,62,Case Riminino,42.466667,11.65,ITALY,IT,ITA
Lazio,62,San Giovanni di Bieda,42.283333,12.05,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Pálchisce,45.856667,13.568056,ITALY,IT,ITA
Lazio,62,Vetralla,42.316667,12.05,ITALY,IT,ITA
Lazio,62,Cura Rurale,42.3,12.083333,ITALY,IT,ITA
Lazio,62,Cura,42.3,12.083333,ITALY,IT,ITA
Lazio,62,San Martino al Cimino,42.366667,12.116667,ITALY,IT,ITA
Lazio,62,Tobia,42.35,12.133333,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Bistrigna,45.793333,13.501667,ITALY,IT,ITA
Lazio,62,Pescia Romana,42.4,11.5,ITALY,IT,ITA
Veneto,34,Malamocco,45.715,13.014167,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Moraro,45.930833,13.4975,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Plessiva,45.981389,13.499167,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Giássico,45.975833,13.447778,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Lignano Riviera,45.655,13.101389,ITALY,IT,ITA
Friuli-Venezia Giulia,36,Villa Bruna,45.779722,13.1975,ITALY,IT,ITA
Veneto,34,Bibione Pineda,45.632778,13.0075,ITALY,IT,ITA
Veneto,34,Valpelina,45.662222,13.003611,ITALY,IT,ITA
Lazio,62,Bagnoregio,42.616667,12.083333,ITALY,IT,ITA
Lazio,62,Lubriano,42.633333,12.116667,ITALY,IT,ITA
Lazio,62,Faleria,42.233333,12.433333,ITALY,IT,ITA
Marche,57,Palazzo,43.216667,12.933333,ITALY,IT,ITA
Marche,57,Esanatoglia,43.25,12.95,ITALY,IT,ITA
Marche,57,Gaville,43.4,12.816667,ITALY,IT,ITA
Marche,57,Coldellanoce,43.4,12.816667,ITALY,IT,ITA
Marche,57,Cantia,43.366667,12.85,ITALY,IT,ITA
Marche,57,Nebbiano,43.383333,12.9,ITALY,IT,ITA
Marche,57,Rosenga,43.416667,12.95,ITALY,IT,ITA
Marche,57,Genga,43.433333,12.933333,ITALY,IT,ITA
Marche,57,Valtreara,43.383333,12.983333,ITALY,IT,ITA
Marche,57,Fossombrone,43.683333,12.8,ITALY,IT,ITA
Marche,57,Tolentino,43.2,13.283333,ITALY,IT,ITA
Lazio,62,Capranica,42.25,12.183333,ITALY,IT,ITA
Lazio,62,Sutri,42.233333,12.216667,ITALY,IT,ITA
Lazio,62,Civita Castellana,42.283333,12.416667,ITALY,IT,ITA
Lazio,62,Gallese,42.366667,12.4,ITALY,IT,ITA
Lazio,62,Borghetto,42.333333,12.45,ITALY,IT,ITA
Marche,57,Terricoli,43.233333,12.966667,ITALY,IT,ITA
Marche,57,Vasconi,43.216667,12.983333,ITALY,IT,ITA
Marche,57,Castel Santa Maria,43.216667,13,ITALY,IT,ITA
Marche,57,Sassoferrato,43.433333,12.85,ITALY,IT,ITA
Marche,57,Santa Maria della Valle,43.666667,12.833333,ITALY,IT,ITA
Marche,57,Isola di Fano,43.65,12.85,ITALY,IT,ITA
