CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Nagasaki,42,Ōsaki,33.111111,129.747222,JAPAN,JP,JPN
Okinawa,47,Minami,25.819444,131.25,JAPAN,JP,JPN
Okinawa,47,Kyūtō,25.825,131.251389,JAPAN,JP,JPN
,,Momoshima,34.366667,133.268889,JAPAN,JP,JPN
,,Ōshima,35.667778,135.268056,JAPAN,JP,JPN
,,Satohami,35.626667,135.243333,JAPAN,JP,JPN
,,Behu,34.08,132.9,JAPAN,JP,JPN
,,Waki,34.078333,132.916667,JAPAN,JP,JPN
,,Amazaki,34.240278,133.05,JAPAN,JP,JPN
,,Akashi,34.208333,132.878333,JAPAN,JP,JPN
,,Nariu,35.58,135.446667,JAPAN,JP,JPN
,,Nagahama,34.4625,133.540556,JAPAN,JP,JPN
,,Mihama,35.633333,140.06,JAPAN,JP,JPN
,,Takase,35.666667,139.99,JAPAN,JP,JPN
,,Shiomi,35.675,139.966667,JAPAN,JP,JPN
,,Tomioka,35.636667,139.911667,JAPAN,JP,JPN
,,Hayakawa,34.193889,133.043333,JAPAN,JP,JPN
,,Kitaura,34.230556,133.096667,JAPAN,JP,JPN
,,Kanoura,34.207778,133.075,JAPAN,JP,JPN
,,Yasuda,34.483333,134.32,JAPAN,JP,JPN
,,Obase,35.560556,135.401667,JAPAN,JP,JPN
,,Sezaki,35.5425,135.35,JAPAN,JP,JPN
,,Chitose,35.509444,135.347778,JAPAN,JP,JPN
,,Hama,35.675,139.995,JAPAN,JP,JPN
,,Hinode,35.646667,139.931667,JAPAN,JP,JPN
,,Chidori,35.618333,139.9,JAPAN,JP,JPN
,,Samugawa,35.596667,140.133333,JAPAN,JP,JPN
,,Niihama,35.558333,140.116667,JAPAN,JP,JPN
,,Kitatoriu,34.057778,133.013889,JAPAN,JP,JPN
,,Fusuma,34.128333,133.018611,JAPAN,JP,JPN
,,Mukuna,34.138333,133.02,JAPAN,JP,JPN
,,Kanegasaki,35.661667,136.075,JAPAN,JP,JPN
,,Sakura,35.658333,136.071667,JAPAN,JP,JPN
,,Horai,35.658056,136.068056,JAPAN,JP,JPN
,,Kawasaki,35.656944,136.064444,JAPAN,JP,JPN
,,Kajika,33.963611,136.217778,JAPAN,JP,JPN
,,Uwase,35.518056,135.477778,JAPAN,JP,JPN
,,Sone,34.321667,134.261667,JAPAN,JP,JPN
,,Isozaki,33.892778,136.128889,JAPAN,JP,JPN
,,Fukuda,34.158056,133.041111,JAPAN,JP,JPN
,,Higashitsukura,34.156111,133.03,JAPAN,JP,JPN
,,Eidai,35.658333,136.037222,JAPAN,JP,JPN
,,Keihinjima,35.57,139.765,JAPAN,JP,JPN
,,Shitadami,34,133.039167,JAPAN,JP,JPN
,,Shitadami,34.1275,133.0225,JAPAN,JP,JPN
,,Katahara,34.071111,133,JAPAN,JP,JPN
,,Tsushima,34.153333,133.005556,JAPAN,JP,JPN
,,Tango,35.763611,135.223889,JAPAN,JP,JPN
,,Tsumo,35.712778,135.283333,JAPAN,JP,JPN
,,Michigoe,34.379444,133.173889,JAPAN,JP,JPN
,,Okijō,34.362778,133.207778,JAPAN,JP,JPN
,,Tomihama,34.391667,133.191667,JAPAN,JP,JPN
,,Enoura,34.363333,133.193333,JAPAN,JP,JPN
,,Sunaminishi,34.353333,133.08,JAPAN,JP,JPN
,,Asahi,34.063611,132.998611,JAPAN,JP,JPN
,,Sunaba,34.104722,132.977222,JAPAN,JP,JPN
,,Sunoe,34.288333,133.141667,JAPAN,JP,JPN
,,Miyahara,34.266667,133.106667,JAPAN,JP,JPN
,,Tarumi,34.281111,133.076667,JAPAN,JP,JPN
,,Sakari,34.29,133.023333,JAPAN,JP,JPN
,,Higai,34.275,132.995,JAPAN,JP,JPN
,,Kamano,34.391667,134.15,JAPAN,JP,JPN
,,Tanoura,34.17,133.03,JAPAN,JP,JPN
