CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Akershus,02,Nesoddtangen,59.866667,10.65,NORWAY,NO,NOR
Akershus,02,Skedsmokorset,60.016667,11.041667,NORWAY,NO,NOR
Finnmark,20,Rypefjord,70.633333,23.666667,NORWAY,NO,NOR
Møre og Romsdal,,Ørsta,62.2,6.15,NORWAY,NO,NOR
Oppland,05,Brandbu,60.433333,10.466667,NORWAY,NO,NOR
Rogaland,11,Vedavågen,59.291667,5.233333,NORWAY,NO,NOR
Sør-Trøndelag,,Hopen,63.6,9.533333,NORWAY,NO,NOR
Møre og Romsdal,,Vestnes,62.633333,7.083333,NORWAY,NO,NOR
Møre og Romsdal,,Remmem,62.6,7.083333,NORWAY,NO,NOR
Nordland,18,Tverrånes,66.316667,14.166667,NORWAY,NO,NOR
Rogaland,11,Sporeland,58.85,5.883333,NORWAY,NO,NOR
Rogaland,11,Sporaland,58.85,5.883333,NORWAY,NO,NOR
Hordaland,12,Dalevik,59.729444,5.695833,NORWAY,NO,NOR
Hordaland,12,Vik,59.729444,5.695833,NORWAY,NO,NOR
Sogn og Fjordane,14,Ytre Skor,61.233333,5.333333,NORWAY,NO,NOR
Sogn og Fjordane,14,Skor,61.233333,5.333333,NORWAY,NO,NOR
Troms,19,Solheim,70.033333,19.083333,NORWAY,NO,NOR
Nordland,18,Skjelfjordeid,68.766667,15,NORWAY,NO,NOR
Telemark,08,Verpe,59.433333,8.9,NORWAY,NO,NOR
Akershus,02,Sjølisæter,60.233333,11.5,NORWAY,NO,NOR
Akershus,02,Sjöli,60.233333,11.5,NORWAY,NO,NOR
Nordland,18,Vaaje,68.35,15.5,NORWAY,NO,NOR
Nordland,18,Voje,68.35,15.5,NORWAY,NO,NOR
Nordland,18,Våje,68.35,15.5,NORWAY,NO,NOR
Nordland,18,Vågehamn,68.35,15.5,NORWAY,NO,NOR
Hordaland,12,Vaka,59.633333,5.783333,NORWAY,NO,NOR
Nord-Trøndelag,,Utvorda,64.593611,10.956389,NORWAY,NO,NOR
Nord-Trøndelag,,Utvorden,64.593611,10.956389,NORWAY,NO,NOR
Hordaland,12,Steinsland,60.202222,5.088056,NORWAY,NO,NOR
Akershus,02,Stensgård,60.283333,11.1,NORWAY,NO,NOR
Akershus,02,Steinsgard,60.283333,11.1,NORWAY,NO,NOR
Akershus,02,Stensgaard,60.283333,11.1,NORWAY,NO,NOR
Telemark,08,Værstad,59.25,9.366667,NORWAY,NO,NOR
Telemark,08,Verstad,59.25,9.366667,NORWAY,NO,NOR
Nord-Trøndelag,,Vemundvik,64.516667,11.533333,NORWAY,NO,NOR
Aust-Agder,09,Vatnstraum,58.416667,8.083333,NORWAY,NO,NOR
Aust-Agder,09,Vatnestraum,58.416667,8.083333,NORWAY,NO,NOR
Troms,19,Skattøyra,69.983333,19.666667,NORWAY,NO,NOR
Rogaland,11,Tangen,59.266667,5.216667,NORWAY,NO,NOR
Vest-Agder,10,Taanevig,58.05,7.65,NORWAY,NO,NOR
Vest-Agder,10,Tånevik,58.05,7.65,NORWAY,NO,NOR
Nord-Trøndelag,,Venneshavn,63.866667,11.05,NORWAY,NO,NOR
Nord-Trøndelag,,Venneshamn,63.866667,11.05,NORWAY,NO,NOR
Buskerud,06,Tveiten,60.05,9.133333,NORWAY,NO,NOR
Oslo,03,Sinsen,59.933333,10.783333,NORWAY,NO,NOR
Oslo,03,Sindsen,59.933333,10.783333,NORWAY,NO,NOR
Oslo,03,Simsen,59.933333,10.783333,NORWAY,NO,NOR
Nordland,18,Sletteng,68.266667,13.85,NORWAY,NO,NOR
Sør-Trøndelag,,Sør-Eidem,63.916667,10.033333,NORWAY,NO,NOR
Troms,19,Stabben,69.383333,18.733333,NORWAY,NO,NOR
Buskerud,06,Sokna,60.233333,9.9,NORWAY,NO,NOR
Sogn og Fjordane,14,Steinsund,61.066667,4.816667,NORWAY,NO,NOR
Nordland,18,Uteid,68.083611,15.593056,NORWAY,NO,NOR
Nord-Trøndelag,,Selnesviken,64.433333,11.416667,NORWAY,NO,NOR
Nord-Trøndelag,,Selnes,64.433333,11.416667,NORWAY,NO,NOR
Østfold,,Sellebakk,59.233333,11,NORWAY,NO,NOR
Østfold,,Sellebak,59.233333,11,NORWAY,NO,NOR
Østfold,,Selbak,59.233333,11,NORWAY,NO,NOR
Hordaland,12,Stura,60.621389,4.837778,NORWAY,NO,NOR
Troms,19,Ytre Tomasjord,69.35,19.4,NORWAY,NO,NOR
Nord-Trøndelag,,Værdalsören,63.8,11.483333,NORWAY,NO,NOR
Nord-Trøndelag,,Verdalsöyra,63.8,11.483333,NORWAY,NO,NOR
Nord-Trøndelag,,Verdalsören,63.8,11.483333,NORWAY,NO,NOR
Nord-Trøndelag,,Verdalsøra,63.8,11.483333,NORWAY,NO,NOR
Akershus,02,Vollebekk,59.616667,10.783333,NORWAY,NO,NOR
Troms,19,Voldane,69.216667,19.566667,NORWAY,NO,NOR
Troms,19,Vollan,69.216667,19.566667,NORWAY,NO,NOR
Troms,19,Vollen,69.216667,19.566667,NORWAY,NO,NOR
Hedmark,04,Volla,60.833333,11.633333,NORWAY,NO,NOR
Troms,19,Solset,69.15,18.183333,NORWAY,NO,NOR
Hedmark,04,Skara,60.4,12.016667,NORWAY,NO,NOR
Hordaland,12,Skansen,60.393889,5.331667,NORWAY,NO,NOR
Sør-Trøndelag,,Sluppen,63.233333,9.35,NORWAY,NO,NOR
Møre og Romsdal,,Ulsteinvik,62.333333,5.883333,NORWAY,NO,NOR
Vest-Agder,10,Skopteland,58.1,7.35,NORWAY,NO,NOR
Nordland,18,Sormjele,68.983333,15.45,NORWAY,NO,NOR
Nordland,18,Sör Mele,68.983333,15.45,NORWAY,NO,NOR
Nordland,18,Mjele,68.983333,15.45,NORWAY,NO,NOR
Nordland,18,Sørmela,68.983333,15.45,NORWAY,NO,NOR
Troms,19,Vebbestad,68.75,16.166667,NORWAY,NO,NOR
Rogaland,11,Sundfør,59.481111,5.458333,NORWAY,NO,NOR
Buskerud,06,Vikesund,59.983333,10.033333,NORWAY,NO,NOR
Buskerud,06,Vikersund,59.983333,10.033333,NORWAY,NO,NOR
Sogn og Fjordane,14,Tønjum,61.05,7.516667,NORWAY,NO,NOR
Sogn og Fjordane,14,Laerdal,61.05,7.516667,NORWAY,NO,NOR
Akershus,02,Svestad,59.776111,10.593056,NORWAY,NO,NOR
