CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
,,Carters Mill,-43.973333,168.854167,NEW ZEALAND,NZ,NZL
,,Kaikora,-39.893056,176.599167,NEW ZEALAND,NZ,NZL
,,Porangahau,-40.278889,176.628333,NEW ZEALAND,NZ,NZL
,,Porongahau,-40.278889,176.628333,NEW ZEALAND,NZ,NZL
,,Mahanga Beach,-39.008611,177.885,NEW ZEALAND,NZ,NZL
,,Mahanga,-39.008611,177.885,NEW ZEALAND,NZ,NZL
,,Masterton,-40.959722,175.6575,NEW ZEALAND,NZ,NZL
,,Opunake,-39.455556,173.858333,NEW ZEALAND,NZ,NZL
,,Hawera,-39.591667,174.283333,NEW ZEALAND,NZ,NZL
,,Red Beach,-36.610556,174.705556,NEW ZEALAND,NZ,NZL
,,Opotiki,-38.083333,177.283333,NEW ZEALAND,NZ,NZL
,,Paeroa,-37.366667,175.666667,NEW ZEALAND,NZ,NZL
,,Longs Beach,-36.040556,174.529167,NEW ZEALAND,NZ,NZL
,,Centre Bush,-46.05,168.333333,NEW ZEALAND,NZ,NZL
,,Te Waitere,-38.133333,174.833333,NEW ZEALAND,NZ,NZL
,,Ouwenga,-44.033333,-176.366667,NEW ZEALAND,NZ,NZL
,,Freshford,-45.783333,168.783333,NEW ZEALAND,NZ,NZL
,,Ruatapu,-42.8,170.883333,NEW ZEALAND,NZ,NZL
,,Walton,-37.733333,175.683333,NEW ZEALAND,NZ,NZL
,,Te Whanga,-36.6,174.833333,NEW ZEALAND,NZ,NZL
,,Morven,-44.833333,171.116667,NEW ZEALAND,NZ,NZL
,,Raglan,-37.8,174.883333,NEW ZEALAND,NZ,NZL
,,Awhitu Central,-37.083333,174.583333,NEW ZEALAND,NZ,NZL
,,Parakakau,-36.583333,174.6,NEW ZEALAND,NZ,NZL
,,Pukekohe East,-37.2,174.95,NEW ZEALAND,NZ,NZL
,,Mairangi Bay,-36.733333,174.766667,NEW ZEALAND,NZ,NZL
,,Ngahauranga,-41.25,174.816667,NEW ZEALAND,NZ,NZL
,,Ngauranga,-41.25,174.816667,NEW ZEALAND,NZ,NZL
,,Frasertown,-38.968611,177.400556,NEW ZEALAND,NZ,NZL
,,Te Kapu,-38.968611,177.400556,NEW ZEALAND,NZ,NZL
,,Chatton,-45.983333,168.916667,NEW ZEALAND,NZ,NZL
,,Hurleyville,-39.633333,174.5,NEW ZEALAND,NZ,NZL
,,Rehia,-36.066667,174.033333,NEW ZEALAND,NZ,NZL
,,Te Maika,-38.083333,174.783333,NEW ZEALAND,NZ,NZL
,,Ahaura,-42.35,171.533333,NEW ZEALAND,NZ,NZL
,,Waiariari,-44.683333,171.083333,NEW ZEALAND,NZ,NZL
,,Silverstream,-41.15,175,NEW ZEALAND,NZ,NZL
,,Roslyn Bush,-46.35,168.45,NEW ZEALAND,NZ,NZL
,,Patutahi,-38.616667,177.9,NEW ZEALAND,NZ,NZL
,,Patutahi Town District,-38.616667,177.9,NEW ZEALAND,NZ,NZL
,,Upper Shotover,-44.833333,168.716667,NEW ZEALAND,NZ,NZL
,,Kiripaka,-35.633333,174.433333,NEW ZEALAND,NZ,NZL
,,Homai,-37.016667,174.883333,NEW ZEALAND,NZ,NZL
,,Chesterfield,-42.616667,171.083333,NEW ZEALAND,NZ,NZL
,,Pukehina,-37.816667,176.533333,NEW ZEALAND,NZ,NZL
,,Pohangina,-40.166667,175.8,NEW ZEALAND,NZ,NZL
,,Papakura,-37.083333,174.95,NEW ZEALAND,NZ,NZL
,,Point Resolution,-36.851389,174.789444,NEW ZEALAND,NZ,NZL
,,Makauri,-38.633333,177.95,NEW ZEALAND,NZ,NZL
,,Flemington,-44.016667,171.733333,NEW ZEALAND,NZ,NZL
,,Aylesbury,-43.533333,172.266667,NEW ZEALAND,NZ,NZL
,,Auckland,-36.866667,174.766667,NEW ZEALAND,NZ,NZL
