CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Benguet,,Yapdue,16.438056,120.6275,PHILIPPINES,PH,PHL
Leyte,,Yapad,11.107222,124.886944,PHILIPPINES,PH,PHL
Nueva Vizcaya,,Yangiran,16.2,120.95,PHILIPPINES,PH,PHL
Basilan,,Yacan,6.572222,122.191111,PHILIPPINES,PH,PHL
Iloilo,,Yabun,10.95,122.5,PHILIPPINES,PH,PHL
Samar,,Ya-bon,11.709167,125.097222,PHILIPPINES,PH,PHL
Camarines Sur,,Yabo,13.733333,123.25,PHILIPPINES,PH,PHL
Cebu,,Zapatera,10.3,123.883333,PHILIPPINES,PH,PHL
Davao,,Ventura,7.209722,125.385556,PHILIPPINES,PH,PHL
Misamis Oriental,,Ven Colony,8.743056,125.039167,PHILIPPINES,PH,PHL
Ilocos Norte,,Zapang,18.283333,120.716667,PHILIPPINES,PH,PHL
Southern Leyte,,Zamora,10.35,124.95,PHILIPPINES,PH,PHL
Leyte,,Ylandoguia,11.183333,124.8,PHILIPPINES,PH,PHL
Maguindanao,,Zamboangan,6.883333,124.7,PHILIPPINES,PH,PHL
Maguindanao,,Zamboagan,6.883333,124.7,PHILIPPINES,PH,PHL
Leyte,,Zabala,11.148611,124.775,PHILIPPINES,PH,PHL
Leyte,,Yuro,11.318611,124.832222,PHILIPPINES,PH,PHL
Albay,,Yentucan,13.033333,123.733333,PHILIPPINES,PH,PHL
Leyte,,Ibag,11.315,124.823611,PHILIPPINES,PH,PHL
Leyte,,Ybag,11.315,124.823611,PHILIPPINES,PH,PHL
Quezon,,Yaugin,13.983333,121.7,PHILIPPINES,PH,PHL
Samar,,Yawa,12.066667,124.983333,PHILIPPINES,PH,PHL
Samar,,Yaua,12.066667,124.983333,PHILIPPINES,PH,PHL
Capiz,,Yating,11.412778,123.0225,PHILIPPINES,PH,PHL
Davao del Sur,,Wines,7.193889,125.389167,PHILIPPINES,PH,PHL
Cavite,,Welfareville,14.577778,121.033611,PHILIPPINES,PH,PHL
