CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
,,Oei Tiong Ham Park,1.315278,103.793889,SINGAPORE,SG,SGP
,,Pulau Ubin Village,1.403333,103.971389,SINGAPORE,SG,SGP
,,Pulau Ubin,1.403333,103.971389,SINGAPORE,SG,SGP
,,Kampong Pulau Ubin,1.403333,103.971389,SINGAPORE,SG,SGP
,,Singapore,1.293056,103.855833,SINGAPORE,SG,SGP
,,Tumasik,1.293056,103.855833,SINGAPORE,SG,SGP
,,Singapore City,1.293056,103.855833,SINGAPORE,SG,SGP
,,Sembawang Village,1.450833,103.828611,SINGAPORE,SG,SGP
,,Sembawang Estate,1.450833,103.828611,SINGAPORE,SG,SGP
,,Sembawang,1.450833,103.828611,SINGAPORE,SG,SGP
,,Ghim Moh,1.311111,103.787778,SINGAPORE,SG,SGP
,,Chip Hock Garden,1.320278,103.813611,SINGAPORE,SG,SGP
,,Dunearn Estate,1.325278,103.823056,SINGAPORE,SG,SGP
,,Bukit Timah Village,1.340278,103.775833,SINGAPORE,SG,SGP
,,Bukit Timah,1.340278,103.775833,SINGAPORE,SG,SGP
,,Bukit Timah Estate,1.340278,103.775833,SINGAPORE,SG,SGP
,,Bukit Sembawang Estate,1.359722,103.970278,SINGAPORE,SG,SGP
,,Brickworks Estate,1.287222,103.808333,SINGAPORE,SG,SGP
,,Holland Grove Park,1.313611,103.780278,SINGAPORE,SG,SGP
,,Sea View Estate,1.3,103.908889,SINGAPORE,SG,SGP
,,Tanglin,1.316667,103.816667,SINGAPORE,SG,SGP
,,City West,1.316667,103.816667,SINGAPORE,SG,SGP
,,Somapah Serangoon,1.366667,103.883333,SINGAPORE,SG,SGP
,,Springleaf Park,1.395278,103.821389,SINGAPORE,SG,SGP
,,East View Garden,1.345833,103.965278,SINGAPORE,SG,SGP
,,Thomson Ridge Estate,1.351389,103.832778,SINGAPORE,SG,SGP
,,Pandan Valley,1.318333,103.775833,SINGAPORE,SG,SGP
,,Ah Soo Garden,1.350278,103.900278,SINGAPORE,SG,SGP
,,Bedok,1.3225,103.961389,SINGAPORE,SG,SGP
,,Bedok Village,1.3225,103.961389,SINGAPORE,SG,SGP
,,Kampong Bukit Panjang,1.383611,103.76,SINGAPORE,SG,SGP
,,Kampong Belimbing,1.371111,103.691944,SINGAPORE,SG,SGP
,,Kampong Ayer Merbau,1.266667,103.716667,SINGAPORE,SG,SGP
,,Kampong Ayer Gemuruh,1.35,103.983333,SINGAPORE,SG,SGP
,,Island View Estate,1.294722,103.772778,SINGAPORE,SG,SGP
,,Kampong Tanjong Penuru,1.3,103.75,SINGAPORE,SG,SGP
,,Kampong Tanjong Penjuru,1.3,103.75,SINGAPORE,SG,SGP
,,Kampong Pesek,1.283333,103.683333,SINGAPORE,SG,SGP
,,Kampong Pachitan,1.316667,103.916667,SINGAPORE,SG,SGP
,,Kampong Mamam,1.417222,103.976111,SINGAPORE,SG,SGP
,,Kampong Kranji,1.433333,103.75,SINGAPORE,SG,SGP
,,Kranji,1.433333,103.75,SINGAPORE,SG,SGP
,,Kampong Che Jevah,1.414444,103.989722,SINGAPORE,SG,SGP
,,Kampong Wak Hassan,1.461389,103.836389,SINGAPORE,SG,SGP
,,Hillcrest Park,1.334722,103.809167,SINGAPORE,SG,SGP
,,Bukit Panjang Estate,1.381667,103.7525,SINGAPORE,SG,SGP
,,Kampong San Teng,1.346944,103.840833,SINGAPORE,SG,SGP
,,Medway Park,1.305556,103.775556,SINGAPORE,SG,SGP
,,Woodleigh Park,1.341667,103.867778,SINGAPORE,SG,SGP
,,Ulu Bedok,1.333333,103.933333,SINGAPORE,SG,SGP
,,Ulu Bedok Village,1.333333,103.933333,SINGAPORE,SG,SGP
,,Toa Payoh New Town,1.336111,103.85,SINGAPORE,SG,SGP
,,Toa Payoh,1.336111,103.85,SINGAPORE,SG,SGP
,,Teck Hock,1.3675,103.916111,SINGAPORE,SG,SGP
,,Teck Hock Village,1.3675,103.916111,SINGAPORE,SG,SGP
,,Ewart Park,1.324722,103.7825,SINGAPORE,SG,SGP
,,Seletar,1.41,103.874167,SINGAPORE,SG,SGP
,,Ong Lee,1.35,103.75,SINGAPORE,SG,SGP
,,Ong Lee Village,1.35,103.75,SINGAPORE,SG,SGP
,,Sungei Simpang Village,1.438056,103.826667,SINGAPORE,SG,SGP
,,Sungai Simpang,1.438056,103.826667,SINGAPORE,SG,SGP
,,Sin Watt Estate,1.414167,103.950556,SINGAPORE,SG,SGP
,,Caidecutt Hill Estate,1.336667,103.835,SINGAPORE,SG,SGP
,,Caldecott Hill Estate,1.336667,103.835,SINGAPORE,SG,SGP
,,Bright Hill Crescent,1.35,103.833333,SINGAPORE,SG,SGP
,,Lokyang Village,1.33,103.681389,SINGAPORE,SG,SGP
,,Lokyang,1.33,103.681389,SINGAPORE,SG,SGP
,,Lokvang,1.33,103.681389,SINGAPORE,SG,SGP
,,Kampong Woodleigh,1.341944,103.871944,SINGAPORE,SG,SGP
,,Kampong Telok,1.383333,103.65,SINGAPORE,SG,SGP
,,Kampong Wah Tuang,1.456667,103.846667,SINGAPORE,SG,SGP
,,Kampong Tanjong Irau,1.456667,103.846667,SINGAPORE,SG,SGP
,,Kingsmead Hall,1.318333,103.805,SINGAPORE,SG,SGP
,,Camden Park,1.327778,103.816389,SINGAPORE,SG,SGP
,,Kampong Sanyonkong Parit,1.406111,104.065833,SINGAPORE,SG,SGP
,,Kampong Sanyongkong,1.406111,104.065833,SINGAPORE,SG,SGP
,,Kampong Amoy Quee,1.383333,103.85,SINGAPORE,SG,SGP
,,Chai Chee Estate,1.326667,103.933333,SINGAPORE,SG,SGP
,,Bajau Estate,1.336944,103.663333,SINGAPORE,SG,SGP
,,Kampong Beremban,1.381389,103.915833,SINGAPORE,SG,SGP
,,West Coast Village,1.316667,103.75,SINGAPORE,SG,SGP
,,Chia Tong Quah Estate,1.408611,104.050833,SINGAPORE,SG,SGP
,,Geylang Serai Village,1.32,103.91,SINGAPORE,SG,SGP
,,Geylang Serai,1.32,103.91,SINGAPORE,SG,SGP
,,York Hill Estate,1.287222,103.8375,SINGAPORE,SG,SGP
,,Ayer Raja New Town,1.305,103.783333,SINGAPORE,SG,SGP
,,Ayer Rajah,1.305,103.783333,SINGAPORE,SG,SGP
,,Dragon View Park,1.295556,103.823889,SINGAPORE,SG,SGP
,,Jurong East New Town,1.341389,103.739167,SINGAPORE,SG,SGP
,,Jurong East,1.341389,103.739167,SINGAPORE,SG,SGP
,,Soo Chow Garden,1.353333,103.830833,SINGAPORE,SG,SGP
,,Ban Guan Park,1.323611,103.789167,SINGAPORE,SG,SGP
,,Faber Hills,1.320833,103.759722,SINGAPORE,SG,SGP
,,Bin Tong Park,1.320556,103.7975,SINGAPORE,SG,SGP
,,Tua Kang Lye,1.314167,103.776667,SINGAPORE,SG,SGP
,,Chinese Gardens,1.311389,103.797778,SINGAPORE,SG,SGP
,,Kimlin Park,1.301667,103.826944,SINGAPORE,SG,SGP
,,Kampong Sireh,1.35,103.883333,SINGAPORE,SG,SGP
,,Kampong Todak,1.421389,104.021667,SINGAPORE,SG,SGP
,,Bamboo Grove Park,1.357778,103.757778,SINGAPORE,SG,SGP
,,Teck Chong Estate,1.415556,103.761667,SINGAPORE,SG,SGP
,,Tay Keng Loon Estate,1.453333,103.798889,SINGAPORE,SG,SGP
,,Tampines Estate,1.358056,103.940278,SINGAPORE,SG,SGP
,,Tai Seng,1.336111,103.903611,SINGAPORE,SG,SGP
,,Swiss Cottage Estate,1.32,103.831667,SINGAPORE,SG,SGP
,,Serangoon Garden Estate,1.363889,103.8575,SINGAPORE,SG,SGP
,,Bukit Sembawang Estate,1.444444,103.851111,SINGAPORE,SG,SGP
,,Bukit Sembawang Estate,1.454444,103.840833,SINGAPORE,SG,SGP
,,Saga,1.266667,103.833333,SINGAPORE,SG,SGP
,,Saga Village,1.266667,103.833333,SINGAPORE,SG,SGP
,,Eden Park,1.331389,103.7925,SINGAPORE,SG,SGP
,,Eden Hall,1.310556,103.821944,SINGAPORE,SG,SGP
,,Mount Vernon,1.335833,103.8975,SINGAPORE,SG,SGP
,,Tyersall Park,1.310556,103.813611,SINGAPORE,SG,SGP
,,Kampong Wak Tanjong,1.316667,103.9,SINGAPORE,SG,SGP
,,Kampong Wak Sekak,1.266667,103.7,SINGAPORE,SG,SGP
,,Seletar Hills Estate,1.384444,103.868056,SINGAPORE,SG,SGP
,,Opera Estate,1.318056,103.936944,SINGAPORE,SG,SGP
,,Banta Tengeh,1.35,103.65,SINGAPORE,SG,SGP
,,Perseverance Estate,1.330278,103.911389,SINGAPORE,SG,SGP
,,Ng Kay Boon Estate,1.439444,103.731111,SINGAPORE,SG,SGP
,,Nepal Park,1.301667,103.788056,SINGAPORE,SG,SGP
,,Nee Soon,1.402778,103.817778,SINGAPORE,SG,SGP
,,Nee Soon Estate,1.402778,103.817778,SINGAPORE,SG,SGP
,,Nee Soon Village,1.402778,103.817778,SINGAPORE,SG,SGP
,,Mata Ikan Village,1.336111,103.975,SINGAPORE,SG,SGP
,,Mata Ikan,1.336111,103.975,SINGAPORE,SG,SGP
,,Marsiling,1.441111,103.770833,SINGAPORE,SG,SGP
,,Kampong Hock Soon,1.316667,103.866667,SINGAPORE,SG,SGP
,,Kampong Eunos,1.320833,103.917778,SINGAPORE,SG,SGP
,,Kampong Cutforth,1.381944,103.736389,SINGAPORE,SG,SGP
