CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Galicia,GA,Seijas,43.533333,-7.883333,SPAIN,ES,ESP
Castilla y León,,Otero de María Asensio,40.883333,-5.55,SPAIN,ES,ESP
Castilla y León,,Alquería Otero de María Asensio,40.883333,-5.55,SPAIN,ES,ESP
Galicia,GA,Vilacova,43.166667,-8.3,SPAIN,ES,ESP
Galicia,GA,Santo Tomé,43.166667,-8.3,SPAIN,ES,ESP
Galicia,GA,Vilacoba,43.166667,-8.3,SPAIN,ES,ESP
Galicia,GA,Santo Tomé de Vilacova,43.166667,-8.3,SPAIN,ES,ESP
Castilla y León,,Entrambosríos,43.066667,-3.716667,SPAIN,ES,ESP
Galicia,GA,San Martín de Figueiró,41.966667,-8.766667,SPAIN,ES,ESP
Galicia,GA,San Martín,41.966667,-8.766667,SPAIN,ES,ESP
Galicia,GA,Figueiró,41.966667,-8.766667,SPAIN,ES,ESP
Asturias,,Poago,43.55,-5.733333,SPAIN,ES,ESP
Asturias,,Santa María,43.55,-5.733333,SPAIN,ES,ESP
Canarias,CN,Lomo Alto,28.4,-16.333333,SPAIN,ES,ESP
Asturias,,Martul,43.25,-6.983333,SPAIN,ES,ESP
Castilla-La Mancha,CM,Santa Cruz de Moya,39.95,-1.266667,SPAIN,ES,ESP
Andalucía,,Nava del Rico,38.066667,-2.933333,SPAIN,ES,ESP
Andalucía,,Cortijada Nava del Rico,38.066667,-2.933333,SPAIN,ES,ESP
Andalucía,,Casa de Nava del Milano,38.066667,-2.933333,SPAIN,ES,ESP
País Vasco,,Labraza,42.566667,-2.416667,SPAIN,ES,ESP
Asturias,,Santa María,43.5,-5.85,SPAIN,ES,ESP
Asturias,,Solís,43.5,-5.85,SPAIN,ES,ESP
Castilla-La Mancha,CM,Solera del Gabaldón,39.75,-1.966667,SPAIN,ES,ESP
Galicia,GA,Vieiro,43.65,-7.616667,SPAIN,ES,ESP
Galicia,GA,San Cipriano,43.65,-7.616667,SPAIN,ES,ESP
Cataluña,,Sant Andreu,41.433333,2.2,SPAIN,ES,ESP
Cataluña,,San Andrés de Palomar,41.433333,2.2,SPAIN,ES,ESP
Cataluña,,San Andrés,41.433333,2.2,SPAIN,ES,ESP
Galicia,GA,Rosadelas,42.65,-8.9,SPAIN,ES,ESP
Galicia,GA,Barrio de Otero,42.25,-7.116667,SPAIN,ES,ESP
Galicia,GA,Otero,42.25,-7.116667,SPAIN,ES,ESP
País Vasco,,Yurre,43.166667,-2.766667,SPAIN,ES,ESP
Andalucía,,Cortijada Gacia Alto,37.1,-2,SPAIN,ES,ESP
Andalucía,,Gacia Alto,37.1,-2,SPAIN,ES,ESP
Andalucía,,Cúllar de Baza,37.583333,-2.566667,SPAIN,ES,ESP
Galicia,GA,Santa Maria,43.233333,-8.216667,SPAIN,ES,ESP
Galicia,GA,Cuiña,43.233333,-8.216667,SPAIN,ES,ESP
Cataluña,,Caserío Bufagañas,41.8,3.033333,SPAIN,ES,ESP
Cataluña,,Bufagañas,41.8,3.033333,SPAIN,ES,ESP
Valenciana,,Caserío Benimagrell,38.383333,-0.416667,SPAIN,ES,ESP
Valenciana,,Benimagrell,38.383333,-0.416667,SPAIN,ES,ESP
Valenciana,,Benifayó,39.283333,-0.433333,SPAIN,ES,ESP
Galicia,GA,Borrajeiros,42.8,-8,SPAIN,ES,ESP
Galicia,GA,San Cristóbal,42.8,-8,SPAIN,ES,ESP
Asturias,,Ambiedes,43.583333,-5.883333,SPAIN,ES,ESP
Asturias,,Santiago de Ambiedes,43.583333,-5.883333,SPAIN,ES,ESP
Galicia,GA,Cachafeiro,42.566667,-8.333333,SPAIN,ES,ESP
Galicia,GA,Anafreita,43.083333,-7.883333,SPAIN,ES,ESP
Galicia,GA,San Pedro,43.083333,-7.883333,SPAIN,ES,ESP
Castilla-La Mancha,CM,Cuenca,40.066667,-2.133333,SPAIN,ES,ESP
Castilla-La Mancha,CM,Huércemes,39.733333,-1.7,SPAIN,ES,ESP
Galicia,GA,Santiago,43.033333,-9.116667,SPAIN,ES,ESP
Galicia,GA,Berdeogas,43.033333,-9.116667,SPAIN,ES,ESP
