CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Jämtland,,Tunvågen,62.883333,14.666667,SWEDEN,SE,SWE
Jämtland,,Tunnvågen,62.883333,14.666667,SWEDEN,SE,SWE
Jönköping,,Tunnerbohult,57.1,13.2,SWEDEN,SE,SWE
Västra Götaland,,Tunhem,58.216667,13.533056,SWEDEN,SE,SWE
Västra Götaland,,Östra Tunhem,58.216667,13.533056,SWEDEN,SE,SWE
Kronoberg,,Vraneke,56.933333,15.183333,SWEDEN,SE,SWE
Västernorrland,,Tuna,62.65,17.333333,SWEDEN,SE,SWE
Blekinge Län,,Torsö,56,14.65,SWEDEN,SE,SWE
Dalarna Län,,Torsmo,61.2,14.966667,SWEDEN,SE,SWE
Uppsala,,Torslunda,59.75,17.033333,SWEDEN,SE,SWE
Kalmar,,Torslunda,56.633333,16.5,SWEDEN,SE,SWE
Skåne,,Torslehult,56.433333,13.783333,SWEDEN,SE,SWE
Jönköping,,Torskinge,57.116667,13.8,SWEDEN,SE,SWE
Västernorrland,,Vi,62.3,17.166667,SWEDEN,SE,SWE
Västernorrland,,Viforsen,62.3,17.166667,SWEDEN,SE,SWE
Jämtland,,Tuvattnet,63.866667,14.7,SWEDEN,SE,SWE
Jämtland,,Tjuvvattnet,63.866667,14.7,SWEDEN,SE,SWE
Jämtland,,Tjufvattnet,63.866667,14.7,SWEDEN,SE,SWE
Västra Götaland,,Tjuvkil,57.9,11.733333,SWEDEN,SE,SWE
Stockholm,,Tjustvik,59.316667,18.35,SWEDEN,SE,SWE
Värmland,,Taserud,59.666667,12.6,SWEDEN,SE,SWE
Dalarna Län,,Tasbäck,60.766667,14.883333,SWEDEN,SE,SWE
Kronoberg,,Tavastehult,56.566667,15.116667,SWEDEN,SE,SWE
Kronoberg,,Tarvastehult,56.566667,15.116667,SWEDEN,SE,SWE
Skåne,,Tarstad,55.916667,13.05,SWEDEN,SE,SWE
Västmanland,,Svedvi,59.583333,16.266667,SWEDEN,SE,SWE
Västerbotten,,Svedum,64.633333,20.8,SWEDEN,SE,SWE
Västerbotten,,Svedun,64.633333,20.8,SWEDEN,SE,SWE
Stockholm,,Svedmyra,59.266667,18.083333,SWEDEN,SE,SWE
Stockholm,,Svedlandet,59.531944,18.722778,SWEDEN,SE,SWE
Västra Götaland,,Sundshult,57.75,12.8,SWEDEN,SE,SWE
Kalmar,,Vråka,58.016667,16.55,SWEDEN,SE,SWE
Kalmar,,Vrå,57.816667,16.05,SWEDEN,SE,SWE
Hallands Län,,Vrå,57.366667,12.333333,SWEDEN,SE,SWE
Kronoberg,,Vrå,56.716667,13.466667,SWEDEN,SE,SWE
Stockholm,,Tarby,59.666667,18.116667,SWEDEN,SE,SWE
Västra Götaland,,Tärby,57.833333,13.1,SWEDEN,SE,SWE
Dalarna Län,,Svedjebyn,60.5,14.833333,SWEDEN,SE,SWE
Jämtland,,Svedjebodarna,62.9,14.2,SWEDEN,SE,SWE
