CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
,,Weiermoos,46.75,7.5,SWITZERLAND,CH,CHE
,,Sala,46.066667,8.916667,SWITZERLAND,CH,CHE
,,Somvix,46.733333,8.95,SWITZERLAND,CH,CHE
,,Sommerau,47.45,7.85,SWITZERLAND,CH,CHE
,,Oberfeld,46.85,8.7,SWITZERLAND,CH,CHE
,,Kinzeralp,46.916667,8.733333,SWITZERLAND,CH,CHE
,,Sihlbrugg Dorf,47.183333,8.583333,SWITZERLAND,CH,CHE
,,Sihlbrugg,47.183333,8.583333,SWITZERLAND,CH,CHE
,,Sihlbrücke,47.183333,8.583333,SWITZERLAND,CH,CHE
,,Vex,46.2,7.4,SWITZERLAND,CH,CHE
,,Vernec,46.116667,7.45,SWITZERLAND,CH,CHE
,,Seewes,47.016667,8.633333,SWITZERLAND,CH,CHE
,,Nieder Surenen Alp,46.783333,8.483333,SWITZERLAND,CH,CHE
,,Niedersurrenen,46.783333,8.483333,SWITZERLAND,CH,CHE
,,Nieder Surenen Alm,46.783333,8.483333,SWITZERLAND,CH,CHE
,,Hüttenberg,46.933333,6.533333,SWITZERLAND,CH,CHE
,,Hundwald,46.883333,8.533333,SWITZERLAND,CH,CHE
,,Schmelzboden-Monstein,46.7,9.75,SWITZERLAND,CH,CHE
,,Schmelzboden,46.7,9.75,SWITZERLAND,CH,CHE
,,Schleuis,46.783333,9.216667,SWITZERLAND,CH,CHE
,,Schleins,46.866667,10.433333,SWITZERLAND,CH,CHE
,,Kurheim-Grimmialp,46.566667,7.483333,SWITZERLAND,CH,CHE
,,Kurhaus Grimmialp,46.566667,7.483333,SWITZERLAND,CH,CHE
,,Grimmialp,46.566667,7.483333,SWITZERLAND,CH,CHE
,,Kurhaus,46.566667,7.483333,SWITZERLAND,CH,CHE
,,Sagliaz,46.616667,9.75,SWITZERLAND,CH,CHE
,,Saglia,46.616667,9.75,SWITZERLAND,CH,CHE
,,Saclentse,46.166667,7.316667,SWITZERLAND,CH,CHE
