CountrySubdivision,CountrySubdivisionCode,Municipality,Latitude,Longitude,Country,CountryCode,CountryCode3
Angus,,Murroes,56.5,-2.866667,UNITED KINGDOM,GB,GBR
Caerphilly [English] / Caerfilli [Welsh],,Pengam,51.665278,-3.226944,UNITED KINGDOM,GB,GBR
Norfolk,,North Runcton,52.7,0.433333,UNITED KINGDOM,GB,GBR
,,Moyle,54.716667,-7.366667,UNITED KINGDOM,GB,GBR
Highland,,Moy,56.9,-4.6,UNITED KINGDOM,GB,GBR
,,Moy,54.45,-6.666667,UNITED KINGDOM,GB,GBR
Aberdeenshire,,Marnoch,57.533333,-2.666667,UNITED KINGDOM,GB,GBR
Bridgend [English] / Pen-y-bont ar Ogwr [Welsh],,North Cornelly,51.519722,-3.705556,UNITED KINGDOM,GB,GBR
Bridgend [English] / Pen-y-bont ar Ogwr [Welsh],,Cornelly,51.519722,-3.705556,UNITED KINGDOM,GB,GBR
Bridgend [English] / Pen-y-bont ar Ogwr [Welsh],,Corneli,51.519722,-3.705556,UNITED KINGDOM,GB,GBR
Bridgend [English] / Pen-y-bont ar Ogwr [Welsh],,Gwaer Cock,51.519722,-3.705556,UNITED KINGDOM,GB,GBR
Norfolk,,North Burlingham,52.633333,1.45,UNITED KINGDOM,GB,GBR
"Vale of Glamorgan, The [English] /  Bro Morgannwg [Welsh]",,Penarth,51.434722,-3.18,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Pembroke Dock,51.691944,-4.950833,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Paterchurch,51.691944,-4.950833,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Doc Penfro,51.691944,-4.950833,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Pater,51.691944,-4.950833,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Pembroke,51.676111,-4.915833,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Penfro,51.676111,-4.915833,UNITED KINGDOM,GB,GBR
"Carmarthenshire [English] / Gaerfyrddin, Sir [Welsh]",,Pembrey,51.689167,-4.277222,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Pelcomb Cross,51.821389,-5.020278,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Pelcomb,51.821389,-5.020278,UNITED KINGDOM,GB,GBR
Aberdeenshire,,Mountblairy,57.566667,-2.55,UNITED KINGDOM,GB,GBR
Somerset,,Priddy,51.258056,-2.678333,UNITED KINGDOM,GB,GBR
Norfolk,,Panxworth,52.666667,1.466667,UNITED KINGDOM,GB,GBR
Derbyshire,,Matlock,53.133333,-1.533333,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Mathry,51.946389,-5.086667,UNITED KINGDOM,GB,GBR
Angus,,Maryton,56.683333,-2.516667,UNITED KINGDOM,GB,GBR
Highland,,North Ballachulish,56.7,-5.183333,UNITED KINGDOM,GB,GBR
Highland,,Ballachulist,56.7,-5.183333,UNITED KINGDOM,GB,GBR
Northamptonshire,,Northampton,52.25,-0.883333,UNITED KINGDOM,GB,GBR
North Yorkshire,,Northallerton,54.333333,-1.433333,UNITED KINGDOM,GB,GBR
Wiltshire,,Potterne,51.326944,-2.01,UNITED KINGDOM,GB,GBR
Norfolk,,Potter Heigham,52.716667,1.583333,UNITED KINGDOM,GB,GBR
,,Paull,53.716667,-0.233333,UNITED KINGDOM,GB,GBR
Fife,,Moonzie,56.333333,-3.066667,UNITED KINGDOM,GB,GBR
Perth and Kinross,,Monzie,56.4,-3.8,UNITED KINGDOM,GB,GBR
Angus,,Montrose,56.7,-2.45,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,New Moat,51.893333,-4.815833,UNITED KINGDOM,GB,GBR
Moray,,Newmill,57.55,-2.933333,UNITED KINGDOM,GB,GBR
Aberdeenshire,,Whitehouse,57.216667,-2.616667,UNITED KINGDOM,GB,GBR
Orkney Islands,,Whitehall,59.15,-2.616667,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Whitechurch,51.994167,-4.696111,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Whitchurch,51.994167,-4.696111,UNITED KINGDOM,GB,GBR
Wiltshire,,Tisbury,51.063056,-2.083333,UNITED KINGDOM,GB,GBR
Norfolk,,Walpole Saint Andrew,52.733333,0.25,UNITED KINGDOM,GB,GBR
North Tyneside,,Wallsend,54.991389,-1.559722,UNITED KINGDOM,GB,GBR
North Tyneside,,Wallsend-on-Tyne,54.991389,-1.559722,UNITED KINGDOM,GB,GBR
Highland,,Tongue,58.466667,-4.416667,UNITED KINGDOM,GB,GBR
Bridgend [English] / Pen-y-bont ar Ogwr [Welsh],,Tondu,51.546667,-3.598611,UNITED KINGDOM,GB,GBR
Moray,,Tomnavoulin,57.3,-3.316667,UNITED KINGDOM,GB,GBR
Bath and North East Somerset,,Swainswick,51.415556,-2.350556,UNITED KINGDOM,GB,GBR
Bath and North East Somerset,,Upper Swainswick,51.415556,-2.350556,UNITED KINGDOM,GB,GBR
Norfolk,,Swaffham,52.65,0.683333,UNITED KINGDOM,GB,GBR
"Pembrokeshire  [English] / Benfro, Sir [Welsh]",,Nolton,51.821111,-5.096111,UNITED KINGDOM,GB,GBR
Rhondda Cynon Taff [English] / Rhondda Cynon Taf [Welsh],,Porth,51.613056,-3.403611,UNITED KINGDOM,GB,GBR
Highland,,Portgower,58.1,-3.683333,UNITED KINGDOM,GB,GBR
Moray,,Portgordon,57.65,-3.016667,UNITED KINGDOM,GB,GBR
Aberdeenshire,,Port Erroll,57.416667,-1.833333,UNITED KINGDOM,GB,GBR
